Store Number,Power Outage Risk Evaluation,Project Status,Generator Qualification,Projected Install Completion Date,Actual Install Completion Date
4219,,,Yes,,
4220,,,Yes,,
4221,,,No,,
4223,,,No,,
4224,,,No,,
4226,,,No,,
4230,,,No,,
4231,,,No,,
4232,,,No,,
4233,,,No,,
4235,,,Yes,,
4237,,,No,,
4238,,,Yes,,
4239,,,Yes,,
4240,,,No,,
4241,,,No,,
4243,,,No,,
4244,,,No,,
4246,,,Yes,,
4247,,,Yes,,
4249,,,Yes,,
4250,,,No,,
4252,,,Yes,,
4253,,,No,,
4255,,,Yes,,
4256,,,Yes,,
4257,,,No,,
4258,,Scheduled,Already Approved,2/16/2024,
4259,,,Yes,,
4260,,Complete,Already Approved,4/4/2018,4/4/2018
4262,,,No,,
4264,,,No,,
4272,,,Yes,,
4273,,,No,,
4274,,,No,,
4275,,,No,,
4276,,,No,,
4277,,,Yes,,
4278,,,No,,
4279,,,Yes,,
4281,,,No,,
4283,,,No,,
4284,,,Yes,,
4285,,,No,,
4286,,,No,,
4288,,,No,,
4293,,,No,,
4295,,,Yes,,
4298,,Complete,Already Approved,11/10/2021,11/10/2021
4299,,,No,,
4303,,Complete,Already Approved,5/25/2018,5/25/2018
4309,,,Yes,,
4317,,,Yes,,
4318,,,No,,
4321,,,No,,
4322,,,No,,
4323,,Delayed,Already Approved,,
4324,,,No,,
4325,,,Yes,,
4330,,,Yes,,
4332,,Complete,Already Approved,2/27/2018,2/27/2018
4333,,Complete,Already Approved,5/2/2023,5/2/2023
4334,,,No,,
4335,,,No,,
4336,,,No,,
4337,,,No,,
4339,,,No,,
4340,,,No,,
4341,,,Yes,,
4348,,,No,,
4350,,Delayed,Already Approved,,
4352,,Complete,Already Approved,12/1/2012,12/1/2012
4354,,Complete,Already Approved,2/24/2022,2/24/2022
4355,,,No,,
4356,,,No,,
4357,,Scheduled,Already Approved,9/29/2023,
4358,,,No,,
4359,,,No,,
4365,,,No,,
4366,,,No,,
4367,,,Yes,,
4368,,Complete,Already Approved,3/27/2018,3/27/2018
4370,,,No,,
4371,,,No,,
4372,,,Yes,,
4373,,,No,,
4374,,Complete,Already Approved,1/1/2014,1/1/2014
4375,,,No,,
4376,,,No,,
4377,,,No,,
4378,,Scheduled,Already Approved,4/24/2024,
4380,,,No,,
4381,,,No,,
4383,,,No,,
4384,,,No,,
4387,,,No,,
4388,,,No,,
4389,,,Yes,,
4390,,,No,,
4392,,,No,,
4393,,,No,,
4394,,,No,,
4395,,,No,,
4399,,,Yes,,
4403,,,Yes,,
4404,,,Yes,,
4405,,,No,,
4407,,,No,,
4409,,,No,,
4410,,,No,,
4412,,,No,,
4413,,,No,,
4414,,,No,,
4415,,,Yes,,
4416,,Pending,Already Approved,,
4417,,,Yes,,
4420,,,No,,
4421,,,Yes,,
4423,,,No,,
4424,,,Yes,,
4425,,Scheduled,Already Approved,3/15/2024,
4426,,,No,,
4427,,,Yes,,
4428,,,No,,
4430,,,No,,
4431,,Complete,Already Approved,9/28/2022,9/28/2022
4432,,,Yes,,
4434,,,No,,
4435,,,No,,
4436,,,No,,
4438,,,Yes,,
4439,,,No,,
4440,,,No,,
4441,,Scheduled,Already Approved,3/15/2024,
4443,,,Yes,,
4444,,,No,,
4445,,,Yes,,
4446,,Complete,Already Approved,7/16/2018,7/16/2018
4450,,,No,,
4451,,,Yes,,
4452,,,Yes,,
4453,,,Yes,,
4456,,,No,,
4457,,Complete,Already Approved,6/7/2023,6/7/2023
4458,,,No,,
4459,,,Yes,,
4460,,Complete,Already Approved,8/7/2019,8/7/2019
4461,,,Yes,,
4464,,,No,,
4465,,,No,,
4466,,,No,,
4468,,Pending,Already Approved,,
4469,,,Yes,,
4470,,,No,,
4471,,,Yes,,
4472,,,Yes,,
4473,,,No,,
4474,,,No,,
4475,,,No,,
4476,,Scheduled,Already Approved,2/23/2024,
4477,,,Yes,,
4478,,,No,,
4479,,,Yes,,
4482,,Scheduled,Already Approved,7/13/2023,
4483,,,Yes,,
4484,,,No,,
4487,,Scheduled,Already Approved,11/16/2023,
4488,,Pending,Already Approved,,
4490,,,No,,
4491,,,No,,
4494,,,No,,
4497,,,Yes,,
4498,,,Yes,,
4499,,,No,,
4501,,,No,,
4503,,,No,,
4504,,,Yes,,
4506,,,No,,
4508,,Scheduled,Already Approved,3/26/2024,
4509,,Complete,Already Approved,9/1/2020,9/1/2020
4511,,,Yes,,
4512,,Complete,Already Approved,6/29/2020,6/29/2020
4514,,,No,,
4516,,,No,,
4517,,,Yes,,
4519,,Pending,Already Approved,,
4520,,,No,,
4521,,,No,,
4524,,,No,,
4525,,Pending,Already Approved,,
4526,,Complete,Already Approved,2/23/2022,2/23/2022
4527,,Scheduled,Already Approved,11/30/2023,
4528,,,No,,
4529,,,Yes,,
4530,,,No,,
4531,,,No,,
4533,,,Yes,,
4538,,Complete,Already Approved,6/14/2019,6/14/2019
4540,,,Yes,,
4543,,,No,,
4545,,Complete,Already Approved,4/18/2016,4/18/2016
4546,,Complete,Already Approved,10/13/2022,10/13/2022
4553,,,Yes,,
4554,,,No,,
4556,,,No,,
4557,,,Yes,,
4558,,,No,,
4560,,Scheduled,Already Approved,3/8/2024,
4561,,Scheduled,Already Approved,3/13/2024,
4563,,,No,,
4564,,,Yes,,
4565,,,No,,
4567,,,No,,
4568,,,Yes,,
4569,,,No,,
4570,,,No,,
4574,,,Yes,,
4577,,,Yes,,
4579,,,No,,
4580,,,No,,
4581,,Scheduled,Already Approved,7/20/2023,
4582,,Scheduled,Already Approved,9/29/2023,
4583,,Complete,Already Approved,5/29/2023,5/29/2023
4585,,,No,,
4586,,,No,,
4588,,,No,,
4589,,,Yes,,
4590,,,No,,
4591,,,Yes,,
4593,,,No,,
4594,,,Yes,,
4595,,Scheduled,Already Approved,11/24/2023,
4597,,,Yes,,
4599,,,No,,
4600,,,No,,
4601,,,No,,
4603,,,No,,
4605,,,Yes,,
4606,,,No,,
4607,,,No,,
4609,,,Yes,,
4611,,,No,,
4612,,Scheduled,Already Approved,11/28/2024,
4615,,,Yes,,
4616,,,No,,
4617,,Complete,Already Approved,8/17/2021,8/17/2021
4618,,,No,,
4619,,,Yes,,
4623,,Scheduled,Already Approved,11/30/2023,
4625,,,No,,
4626,,,No,,
4627,,,No,,
4631,,,No,,
4635,,,No,,
4636,,,No,,
4637,,,No,,
4638,,,No,,
4639,,,Yes,,
4641,,,No,,
4643,,,Yes,,
4644,,,Yes,,
4648,,,Yes,,
4653,,,No,,
4654,,Complete,Already Approved,7/6/2019,7/6/2019
4655,,,Yes,,
4657,,,Yes,,
4659,,,No,,
4660,,,No,,
4664,,,No,,
4667,,,Yes,,
4672,,,Yes,,
4673,,,Yes,,
4674,,,Yes,,
4676,,,Yes,,
4677,,,No,,
4678,,,No,,
4679,,,Yes,,
4681,,Complete,Already Approved,9/30/2021,9/30/2021
4682,,Scheduled,Already Approved,11/30/2023,
4683,,Pending,Already Approved,,
4686,,,No,,
4687,,,No,,
4689,,,No,,
4690,,Complete,Already Approved,6/21/2019,6/21/2019
4691,,,Yes,,
4692,,,Yes,,
4695,,,Yes,,
4696,,,No,,
4697,,,Yes,,
4699,,,No,,
4700,,,No,,
4706,,,Yes,,
4734,,,No,,
4747,,,Yes,,
4756,,,Yes,,
4757,,,No,,
4759,,,No,,
4762,,,No,,
4826,,Scheduled,Already Approved,3/15/2024,
4848,,,No,,
4849,,,No,,
4865,,,No,,
5003,,,No,,
5005,,Scheduled,Already Approved,9/28/2023,
5007,,,No,,
5008,,,No,,
5012,,,Yes,,
5013,,,Yes,,
5014,,,Yes,,
5021,,,Yes,,
5022,,Scheduled,Already Approved,7/27/2023,
5023,,,No,,
5025,,,Yes,,
5027,,,Yes,,
5028,,,No,,
5029,,,No,,
5030,,,No,,
5031,,,No,,
5032,,,No,,
5033,,,No,,
5034,,Complete,Already Approved,10/27/2015,10/27/2015
5035,,Scheduled,Already Approved,8/24/2023,
5036,,,No,,
5037,,Complete,Already Approved,3/31/2020,3/31/2020
5039,,,No,,
5040,,,No,,
5041,,,Yes,,
5043,,,No,,
5044,,Complete,Already Approved,11/1/2012,11/1/2012
5045,,Complete,Already Approved,6/15/2020,6/15/2020
5046,,,No,,
5047,,,No,,
5048,,,No,,
5049,,Complete,Already Approved,6/1/2011,6/1/2011
5051,,Complete,Already Approved,6/1/2012,6/1/2012
5054,,,No,,
5055,,Complete,Already Approved,6/7/2018,6/7/2018
5056,,,Yes,,
5057,,,No,,
5058,,,Yes,,
5059,,,Yes,,
5060,,,No,,
5062,,,No,,
5063,,,Yes,,
5064,,,No,,
5065,,,No,,
5066,,,No,,
5070,,,No,,
5071,,,No,,
5072,,,No,,
5073,,,No,,
5075,,,No,,
5076,,,Yes,,
5077,,,No,,
5078,,,No,,
5079,,,No,,
5080,,Complete,Already Approved,12/20/2021,12/20/2021
5081,,Scheduled,Already Approved,3/12/2024,
5082,,,Yes,,
5085,,,Yes,,
5087,,Scheduled,Already Approved,2/13/2024,
5088,,,No,,
5089,,,No,,
5090,,,No,,
5091,,Complete,Already Approved,7/7/2020,7/7/2020
5092,,,Yes,,
5093,,,No,,
5094,,Scheduled,Already Approved,7/9/2024,
5095,,,Yes,,
5096,,,No,,
5097,,,No,,
5098,,,Yes,,
5099,,Complete,Already Approved,6/1/2015,6/1/2015
5100,,,No,,
5101,,,No,,
5102,,Pending,Already Approved,,
5103,,,No,,
5104,,,No,,
5105,,Scheduled,Already Approved,7/28/2023,7/28/2023
5106,,,No,,
5107,,,Yes,,
5108,,,No,,
5109,,,Yes,,
5110,,,No,,
5111,,,No,,
5113,,,No,,
5115,,,Yes,,
5116,,Complete,Already Approved,8/26/2020,8/26/2020
5117,,,No,,
5118,,,No,,
5119,,,Yes,,
5122,,,No,,
5123,,,No,,
5124,,,No,,
5125,,,Yes,,
5126,,,Yes,,
5127,,,No,,
5129,,,No,,
5130,,,No,,
5131,,,Yes,,
5132,,Scheduled,Already Approved,3/22/2024,
5133,,,Yes,,
5134,,,No,,
5135,,,No,,
5136,,,Yes,,
5137,,,No,,
5139,,,No,,
5140,,,No,,
5141,,,No,,
5142,,,No,,
5143,,,Yes,,
5144,,,Yes,,
5145,,,No,,
5146,,,Yes,,
5147,,Complete,Already Approved,5/19/2023,5/19/2023
5148,,,Yes,,
5149,,,No,,
5150,,Scheduled,Already Approved,9/7/2023,
5151,,,No,,
5152,,,No,,
5154,,,No,,
5155,,,Yes,,
5156,,,Yes,,
5157,,,Yes,,
5159,,,Yes,,
5160,,,No,,
5162,,,Yes,,
5165,,Complete,Already Approved,9/21/2021,9/21/2021
5166,,,No,,
5167,,,No,,
5168,,,No,,
5170,,,No,,
5172,,Complete,Already Approved,5/15/2018,5/15/2018
5173,,,No,,
5174,,Complete,Already Approved,1/26/2023,1/26/2023
5175,,,No,,
5178,,,Yes,,
5179,,,No,,
5182,,,Yes,,
5183,,,No,,
5184,,,No,,
5185,,,No,,
5186,,,No,,
5188,,,No,,
5189,,,Yes,,
5190,,,No,,
5191,,,No,,
5192,,,No,,
5193,,,No,,
5196,,,No,,
5197,,,Yes,,
5198,,,No,,
5199,,,No,,
5200,,,No,,
5201,,,No,,
5202,,,No,,
5203,,,No,,
5204,,,Yes,,
5205,,,No,,
5206,,,Yes,,
5207,,,Yes,,
5210,,,Yes,,
5211,,Complete,Already Approved,4/29/2016,4/29/2016
5214,,Complete,Already Approved,6/12/2019,6/12/2019
5215,,,No,,
5216,,,No,,
5218,,Complete,Already Approved,5/7/2018,5/7/2018
5219,,,No,,
5220,,Complete,Already Approved,9/30/2021,9/30/2021
5221,,,No,,
5224,,,Yes,,
5226,,,No,,
5227,,,No,,
5228,,,No,,
5229,,,No,,
5231,,,Yes,,
5232,,,No,,
5233,,,Yes,,
5234,,,No,,
5235,,,No,,
5236,,,Yes,,
5239,,,Yes,,
5240,,,No,,
5241,,,No,,
5242,,,No,,
5244,,Complete,Already Approved,8/9/2019,8/9/2019
5245,,,No,,
5246,,Complete,Already Approved,1/4/2023,1/4/2023
5247,,,Yes,,
5248,,,No,,
5250,,Complete,Already Approved,1/4/2018,1/4/2018
5251,,,No,,
5252,,,No,,
5253,,,No,,
5254,,Complete,Already Approved,1/1/2015,1/1/2015
5255,,,No,,
5256,,,No,,
5257,,,No,,
5258,,,No,,
5259,,,No,,
5260,,,No,,
5261,,,No,,
5262,,,No,,
5263,,,No,,
5264,,Complete,Already Approved,12/17/2016,12/17/2016
5265,,Scheduled,Already Approved,4/30/2024,
5266,,,No,,
5267,,,No,,
5269,,,No,,
5270,,,No,,
5272,,,No,,
5273,,,No,,
5274,,,No,,
5275,,,No,,
5276,,,No,,
5278,,,No,,
5279,,Complete,Already Approved,6/2/2023,6/2/2023
5280,,,No,,
5281,,,No,,
5282,,,Yes,,
5285,,,No,,
5286,,,Yes,,
5287,,Complete,Already Approved,12/2/2020,12/2/2020
5288,,,Yes,,
5290,,,Yes,,
5291,,,No,,
5292,,,Yes,,
5293,,,Yes,,
5294,,,No,,
5295,,,Yes,,
5296,,,Yes,,
5297,,,No,,
5298,,,Yes,,
5299,,Complete,Already Approved,7/31/2018,7/31/2018
5300,,Scheduled,Already Approved,7/27/2023,
5301,,Complete,Already Approved,7/10/2018,7/10/2018
5303,,,Yes,,
5304,,,No,,
5305,,,No,,
5306,,,No,,
5307,,,No,,
5308,,,No,,
5309,,,Yes,,
5310,,,Yes,,
5311,,Complete,Already Approved,6/29/2016,6/29/2016
5312,,Complete,Already Approved,5/4/2021,5/4/2021
5313,,,No,,
5314,,,Yes,,
5316,,Complete,Already Approved,10/15/2020,10/15/2020
5317,,,No,,
5319,,,No,,
5320,,Complete,Already Approved,5/31/2023,5/31/2023
5321,,Complete,Already Approved,11/21/2019,11/21/2019
5323,,,No,,
5325,,,No,,
5326,,,No,,
5327,,,Yes,,
5328,,Scheduled,Already Approved,5/22/2024,
5329,,,No,,
5330,,,No,,
5331,,,Yes,,
5332,,,No,,
5334,,,No,,
5335,,,Yes,,
5336,,,Yes,,
5337,,,No,,
5338,,,No,,
5340,,,No,,
5341,,,No,,
5342,,,No,,
5343,,,Yes,,
5344,,,No,,
5345,,,No,,
5346,,,No,,
5347,,Complete,Already Approved,12/1/2020,12/1/2020
5348,,Scheduled,Already Approved,12/10/2023,
5349,,,No,,
5350,,,No,,
5352,,,No,,
5353,,,Yes,,
5355,,,Yes,,
5356,,,Yes,,
5358,,,Yes,,
5359,,,No,,
5360,,,Yes,,
5361,,,No,,
5363,,,No,,
5364,,,Yes,,
5365,,,No,,
5366,,Complete,Already Approved,10/31/2019,10/31/2019
5367,,,No,,
5368,,,No,,
5369,,,No,,
5370,,,No,,
5371,,,Yes,,
5372,,,Yes,,
5373,,,No,,
5374,,,No,,
5376,,,Yes,,
5378,,,No,,
5379,,,No,,
5381,,,No,,
5382,,,Yes,,
5383,,Scheduled,Already Approved,12/6/2023,
5384,,,No,,
5385,,,Yes,,
5386,,,No,,
5387,,,No,,
5388,,Complete,Already Approved,2/25/2020,2/25/2020
5389,,,Yes,,
5390,,,No,,
5391,,Complete,Already Approved,6/11/2018,6/11/2018
5392,,,No,,
5393,,,No,,
5394,,,No,,
5396,,,No,,
5397,,,No,,
5398,,,No,,
5399,,,No,,
5402,,,No,,
5403,,,Yes,,
5408,,,Yes,,
5409,,,No,,
5410,,,No,,
5411,,,Yes,,
5414,,,Yes,,
5416,,,No,,
5417,,,No,,
5418,,,Yes,,
5419,,,Yes,,
5420,,,Yes,,
5421,,,No,,
5422,,,Yes,,
5423,,,No,,
5424,,,Yes,,
5425,,,No,,
5426,,,No,,
5427,,,No,,
5428,,,Yes,,
5429,,,No,,
5430,,,No,,
5432,,,No,,
5433,,Complete,Already Approved,6/12/2019,6/12/2019
5434,,,No,,
5435,,,No,,
5436,,,No,,
5438,,,Yes,,
5439,,,No,,
5440,,,No,,
5441,,,No,,
5442,,,No,,
5443,,,No,,
5444,,,No,,
5445,,,No,,
5446,,,Yes,,
5447,,Scheduled,Already Approved,10/7/2024,
5448,,,No,,
5449,,Scheduled,Already Approved,11/10/2023,
5450,,,Yes,,
5451,,Scheduled,Already Approved,2/27/2024,
5452,,,Yes,,
5453,,Scheduled,Already Approved,2/29/2024,
5455,,Complete,Already Approved,11/6/2017,11/6/2017
5458,,,No,,
5459,,,No,,
5460,,Complete,Already Approved,12/17/2021,12/17/2021
5461,,,Yes,,
5462,,,No,,
5463,,,No,,
5464,,Pending,Already Approved,,
5466,,,No,,
5467,,,Yes,,
5469,,,No,,
5470,,,No,,
5471,,,Yes,,
5472,,Scheduled,Already Approved,9/14/2023,
5476,,,No,,
5477,,,No,,
5479,,Scheduled,Already Approved,10/28/2024,
5480,,Complete,Already Approved,11/12/2021,11/12/2021
5481,,,No,,
5482,,,Yes,,
5483,,,Yes,,
5485,,,No,,
5486,,,No,,
5487,,,Yes,,
5488,,Scheduled,Already Approved,8/11/2023,
5489,,Scheduled,Already Approved,11/28/2023,
5490,,,Yes,,
5491,,,No,,
5492,,,Yes,,
5494,,,No,,
5495,,,No,,
5497,,,Yes,,
5498,,,No,,
5499,,,No,,
5600,,,No,,
5601,,,No,,
5602,,,No,,
5603,,,No,,
5604,,,Yes,,
5605,,,No,,
5606,,,Yes,,
5608,,,Yes,,
5609,,,No,,
5610,,,No,,
5611,,,No,,
5612,,Complete,Already Approved,12/2/2021,12/2/2021
5613,,,Yes,,
5614,,,Yes,,
5615,,,No,,
5616,,,Yes,,
5617,,,No,,
5622,,Scheduled,Already Approved,5/2/2024,
5623,,,Yes,,
5624,,,Yes,,
5626,,,No,,
5627,,,Yes,,
5628,,,No,,
5629,,,No,,
5632,,,No,,
5633,,,No,,
5634,,,No,,
5635,,,No,,
5637,,,No,,
5638,,,No,,
5640,,,No,,
5641,,,No,,
5643,,,Yes,,
5644,,,No,,
5649,,,Yes,,
5653,,Scheduled,Already Approved,10/12/2023,
5654,,,No,,
5657,,,Yes,,
5658,,,No,,
5659,,,No,,
5661,,,No,,
5663,,,Yes,,
5664,,,No,,
5667,,,Yes,,
5668,,,Yes,,
5669,,,No,,
5670,,,Yes,,
5671,,Complete,Already Approved,10/1/2021,10/1/2021
5672,,,Yes,,
5673,,,Yes,,
5675,,,No,,
5676,,,Yes,,
5678,,,No,,
5683,,,No,,
5684,,,Yes,,
5686,,,Yes,,
5689,,,No,,
5691,,,Yes,,
5692,,,No,,
5693,,,No,,
5695,,,No,,
5697,,,No,,
5700,,,No,,
5701,,,Yes,,
5702,,,No,,
5703,,,Yes,,
5704,,,No,,
5705,,,No,,
5706,,Complete,Already Approved,6/14/2019,6/14/2019
5707,,Complete,Already Approved,3/22/2018,3/22/2018
5709,,,No,,
5710,,,Yes,,
5713,,Complete,Already Approved,12/13/2021,12/13/2021
5715,,,No,,
5716,,,Yes,,
5717,,,No,,
5719,,,Yes,,
5722,,Pending,Already Approved,,
5725,,,Yes,,
5726,,,Yes,,
5727,,Scheduled,Already Approved,2/28/2024,
5728,,,No,,
5731,,Scheduled,Already Approved,4/4/2024,
5732,,,No,,
5734,,,Yes,,
5735,,,No,,
5737,,,No,,
5738,,,No,,
5740,,Scheduled,Already Approved,12/14/2023,
5741,,,No,,
5743,,Scheduled,Already Approved,12/5/2023,
5744,,,Yes,,
5745,,,No,,
5747,,,Yes,,
5748,,,No,,
5751,,,No,,
5752,,,Yes,,
5753,,Scheduled,Already Approved,11/30/2023,
5754,,Scheduled,Already Approved,2/9/2024,
5755,,Scheduled,Already Approved,2/2/2024,
5758,,Complete,Already Approved,3/17/2020,3/17/2020
5759,,,No,,
5760,,Scheduled,Already Approved,3/15/2024,
5761,,,No,,
5763,,,No,,
5764,,Complete,Already Approved,4/16/2021,4/16/2021
5766,,,Yes,,
5767,,,No,,
5768,,,Yes,,
5769,,,No,,
5771,,Complete,Already Approved,5/31/2023,5/31/2023
5772,,Complete,Already Approved,6/12/2023,6/12/2023
5773,,Pending,Already Approved,,
5774,,Scheduled,Already Approved,2/20/2024,
5776,,,Yes,,
5777,,,Yes,,
5779,,,No,,
5780,,,No,,
5782,,,Yes,,
5786,,,Yes,,
5787,,,No,,
5789,,Complete,Already Approved,8/7/2019,8/7/2019
5790,,Complete,Already Approved,8/9/2019,8/9/2019
5791,,,No,,
5793,,Complete,Already Approved,1/1/2015,1/1/2015
5795,,,No,,
5797,,,No,,
5799,,,No,,
5802,,Complete,Already Approved,1/1/2015,1/1/2015
5803,,Complete,Already Approved,1/1/2015,1/1/2015
5804,,,No,,
5805,,Complete,Already Approved,10/27/2022,10/27/2022
5806,,,No,,
5807,,,No,,
5808,,Complete,Already Approved,2/22/2023,2/22/2023
5809,,Delayed,Already Approved,,
5810,,,No,,
5812,,,Yes,,
5813,,,No,,
5814,,,Yes,,
5815,,,No,,
5816,,,No,,
5817,,,No,,
5818,,,No,,
5819,,,No,,
5820,,Scheduled,Already Approved,3/21/2024,
5823,,,Yes,,
5824,,,Yes,,
5826,,Scheduled,Already Approved,3/27/2024,
5828,,,No,,
5829,,,Yes,,
5831,,,No,,
5832,,Pending,Already Approved,,
5835,,,No,,
5837,,,No,,
5839,,,No,,
5840,,,No,,
5841,,,No,,
5842,,Scheduled,Already Approved,9/21/2023,
5843,,,Yes,,
5844,,,No,,
5845,,,No,,
5846,,Scheduled,Already Approved,5/1/2024,
5847,,,No,,
5848,,,No,,
5851,,Complete,Already Approved,7/1/2013,7/1/2013
5853,,,No,,
5854,,Complete,Already Approved,1/21/2022,1/21/2022
5855,,,No,,
5857,,,No,,
5858,,,No,,
5859,,,No,,
5861,,,Yes,,
5863,,,No,,
5864,,,Yes,,
5866,,,No,,
5867,,,No,,
5869,,,No,,
5871,,Scheduled,Already Approved,4/10/2024,
5872,,,No,,
5874,,,No,,
5875,,,Yes,,
5876,,Scheduled,Already Approved,12/15/2023,
5879,,,No,,
5880,,Scheduled,Already Approved,8/4/2023,
5881,,,No,,
5882,,Complete,Already Approved,6/4/2021,6/4/2021
5883,,,No,,
5884,,,Yes,,
5886,,,No,,
5888,,,No,,
5889,,,Yes,,
5890,,,Yes,,
5891,,,Yes,,
5893,,,No,,
5894,,Scheduled,Already Approved,5/15/2024,
5898,,Scheduled,Already Approved,10/27/2023,
5903,,,Yes,,
5907,,,Yes,,
5908,,,No,,
5911,,Complete,Already Approved,6/15/2021,6/15/2021
5912,,Complete,Already Approved,8/17/2021,8/17/2021
5922,,,No,,
5923,,Scheduled,Already Approved,12/19/2023,
5925,,,Yes,,
5927,,,No,,
5929,,,No,,
5930,,,Yes,,
5932,,Delayed,Already Approved,,
5935,,,No,,
5936,,Scheduled,Already Approved,2/9/2024,
5938,,,No,,
5944,,,No,,
5945,,,No,,
5947,,,No,,
5954,,,No,,
5956,,,No,,
5957,,,Yes,,
5959,,Complete,Already Approved,1/4/2023,1/4/2023
5960,,,No,,
5962,,,No,,
5963,,,No,,
5964,,Complete,Already Approved,9/30/2021,9/30/2021
5965,,,No,,
5968,,,No,,
5969,,Scheduled,Already Approved,3/1/2024,
5976,,Complete,Already Approved,2/18/2016,2/18/2016
5977,,,No,,
5979,,,No,,
5980,,,No,,
5981,,,No,,
5982,,,Yes,,
5987,,,Yes,,
5988,,,No,,
5990,,,No,,
5991,,,No,,
5992,,Complete,Already Approved,1/1/2014,1/1/2014
5993,,,No,,
5994,,,Yes,,
5996,,,No,,
6078,,,Yes,,
6098,,,Yes,,
6149,,Scheduled,Already Approved,3/22/2024,
6159,,,No,,
6165,,Complete,Already Approved,5/18/2023,5/18/2023
6166,,Complete,Already Approved,4/6/2023,4/6/2023
6170,,,Yes,,
6172,,,Yes,,
6173,,,Yes,,
6174,,,No,,
6176,,,No,,
6178,,,No,,
6190,,Complete,Already Approved,10/10/2019,10/10/2019
6207,,,No,,
6226,,Scheduled,Already Approved,11/17/2023,
6233,,,Yes,,
6243,,,No,,
6263,,,Yes,,
6264,,,Yes,,
6286,,,Yes,,
6300,,,No,,
6323,,Scheduled,Already Approved,8/17/2023,
6370,,,Yes,,
6390,,,No,,
6392,,,Yes,,
6394,,,No,,
6395,,,No,,
6397,,Scheduled,Already Approved,11/17/2023,
6398,,Complete,Already Approved,5/21/2018,5/21/2018
6459,,,No,,
6467,,,Yes,,
6469,,,No,,
6470,,,Yes,,
6476,,,No,,
6477,,,No,,
6480,,,No,,
6500,,,No,,
6531,,,No,,
6548,,,No,,
6576,,,No,,
6577,,Pending,Already Approved,,
6578,,,No,,
6579,,Scheduled,Already Approved,6/28/2024,
6583,,Scheduled,Already Approved,2/19/2024,
6585,,,No,,
6586,,,Yes,,
6587,,,No,,
6588,,Pending,Already Approved,,
6590,,Pending,Already Approved,,
6732,,,Yes,,
6786,,,Yes,,
6789,,,No,,
6798,,,No,,
6807,,,No,,
6813,,,No,,
6814,,Complete,Already Approved,11/10/2022,11/10/2022
6828,,,No,,
6849,,,Yes,,
6850,,,No,,
6851,,,No,,
6876,,,No,,
6878,,,Yes,,
6879,,,No,,
6887,,,No,,
6894,,,No,,
6898,,,No,,
6929,,Complete,Already Approved,10/27/2020,10/27/2020
6931,,,No,,
6932,,,Yes,,
6936,,,Yes,,
6937,,Complete,Already Approved,11/22/2019,11/22/2019
6941,,Scheduled,Already Approved,3/20/2024,
6942,,,No,,
6943,,,No,,
6951,,,No,,
6952,,,Yes,,
6953,,,No,,
6958,,,Yes,,
6960,,,Yes,,
6962,,,No,,
6963,,,Yes,,
6964,,,No,,
6966,,,Yes,,
6967,,Complete,Already Approved,6/5/2018,6/5/2018
6968,,Complete,Already Approved,8/30/2022,8/30/2022
6971,,,No,,
6975,,,Yes,,
6978,,Scheduled,Already Approved,8/31/2023,
6998,,,Yes,,
7004,,,No,,
7009,,,Yes,,
7020,,Complete,Already Approved,6/15/2022,6/15/2022
7032,,,No,,
7043,,,No,,
7062,,,No,,
7072,,,Yes,,
7087,,,Yes,,
7098,,,Yes,,
7099,,Pending,Already Approved,,
7127,,,No,,
7129,,,No,,
7137,,Scheduled,Already Approved,11/30/2023,
7146,,,Yes,,
7156,,,Yes,,
7162,,,Yes,,
7168,,,No,,
7174,,Scheduled,Already Approved,11/30/2023,
7177,,,Yes,,
7178,,,Yes,,
7179,,,Yes,,
7180,,,No,,
7181,,,No,,
7185,,,No,,
7188,,,No,,
7194,,,No,,
7199,,,No,,
7205,,,Yes,,
7206,,,No,,
7209,,Complete,Already Approved,4/1/2015,4/1/2015
7218,,Complete,Already Approved,11/1/2014,11/1/2014
7220,,,No,,
7221,,Scheduled,Already Approved,3/22/2024,
7222,,Complete,Already Approved,8/7/2017,8/7/2017
7224,,,No,,
7229,,,No,,
7232,,,Yes,,
7233,,Complete,Already Approved,2/3/2022,2/3/2022
7235,,Complete,Already Approved,9/29/2016,9/29/2016
7238,,,No,,
7240,,,Yes,,
7241,,Complete,Already Approved,2/23/2023,2/23/2023
7242,,,No,,
7243,,Complete,Already Approved,6/2/2022,6/2/2022
7245,,,No,,
7246,,,Yes,,
7247,,Scheduled,Already Approved,8/17/2023,
7249,,,Yes,,
7251,,,Yes,,
7262,,,No,,
7280,,,No,,
7281,,,Yes,,
7290,,,Yes,,
7294,,,No,,
7296,,,No,,
7298,,,No,,
7299,,,No,,
7301,,Scheduled,Already Approved,5/28/2024,
7304,,,Yes,,
7307,,,No,,
7308,,,Yes,,
7309,,,Yes,,
7311,,,No,,
7315,,,No,,
7317,,Complete,Already Approved,7/26/2019,7/26/2019
7320,,,No,,
7324,,,No,,
7326,,,Yes,,
7329,,,Yes,,
7334,,,No,,
7337,,Complete,Already Approved,9/30/2016,9/30/2016
7339,,,No,,
7340,,,Yes,,
7342,,,Yes,,
7347,,,No,,
7349,,,Yes,,
7357,,,Yes,,
7361,,Complete,Already Approved,5/18/2023,5/18/2023
7362,,,Yes,,
8331,,,No,,
