Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comment
3880,INV168084-11245A,11/15/2024," 1,757.53 ",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
1920,INV168084-11245A,11/15/2024, 300.00 ,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,
1767,INV168084-11245A,11/15/2024, 320.25 ,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,
3387,INV168084-11245A,11/15/2024, 300.00 ,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,
4159,INV168084-11245A,11/15/2024, 17.20 ,IMPROPER HANDLING - VAULT,OTHER,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
1357,INV168084-11245A,11/15/2024, 402.39 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1601,INV168084-11245A,11/15/2024, 416.97 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
5264,INV168084-11245A,11/15/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
1179,INV168084-11245A,11/15/2024, 328.56 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
206,INV168084-11245A,11/15/2024, 538.26 ,IMPROPER HANDLING - OTHER,OTHER,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
948,INV168084-11245A,11/15/2024, 873.87 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1076,INV168084-11245A,11/15/2024," 1,008.00 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5963,INV168084-11245A,11/15/2024, 773.47 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
1090,INV168084-11245A,11/15/2024," 1,461.21 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2712,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
3407,INV168084-11245A,11/15/2024," 1,689.53 ",IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
2870,INV168084-11245A,11/15/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
3717,INV168084-11245A,11/15/2024, 464.31 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
259,INV168084-11245A,11/15/2024, 558.16 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
3307,INV168084-11245A,11/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
3645,INV168084-11245A,11/15/2024, 610.61 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
3418,INV168084-11245A,11/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
5292,INV168084-11245A,11/15/2024," 2,789.55 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2291,INV168084-11245A,11/15/2024, 425.00 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
3659,INV168084-11245A,11/15/2024, 464.31 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
3831,INV168084-11245A,11/15/2024, 548.92 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
3136,INV168084-11245A,11/15/2024, 555.39 ,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
3728,INV168084-11245A,11/15/2024, 699.32 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
4961,INV168084-11245A,11/15/2024, 458.56 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5435,INV168084-11245A,11/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
414,INV168084-11245A,11/15/2024, 658.94 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5036,INV168084-11245A,11/15/2024, 497.50 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2860,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
1391,INV168084-11245A,11/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
6878,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2005,INV168084-11245A,11/15/2024, 321.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
4488,INV168084-11245A,11/15/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
1614,INV168084-11245A,11/15/2024, 322.50 ,FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,
3473,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5669,INV168084-11245A,11/15/2024, 317.70 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1885,INV168084-11245A,11/15/2024, 318.00 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
4105,INV168084-11245A,11/15/2024," 1,803.06 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1458,INV168084-11245A,11/15/2024, 813.58 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
42,INV168084-11245A,11/15/2024, 465.38 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,
3081,INV168084-11245A,11/15/2024, 981.74 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2516,INV168084-11245A,11/15/2024, 330.90 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,
5200,INV168084-11245A,11/15/2024," 1,338.36 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1345,INV168084-11245A,11/15/2024, 849.26 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5671,INV168084-11245A,11/15/2024, 566.01 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
3397,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
1296,INV168084-11245A,11/15/2024," 2,815.56 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2985,INV168084-11245A,11/15/2024, 638.70 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
4171,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
2765,INV168084-11245A,11/15/2024, 558.16 ,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
5301,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - VAULT,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
3638,INV168084-11245A,11/15/2024, 425.00 ,IMPROPER HANDLING - HOPPERS,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
2211,INV168084-11245A,11/15/2024, 322.50 ,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,
5154,INV168084-11245A,11/15/2024," 2,944.57 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2291,INV168084-11245A,11/15/2024, 425.00 ,IMPROPER HANDLING - COIN SORTER,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
246,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
8236,INV168084-11245A,11/15/2024, 454.75 ,IMPROPER HANDLING - COIN SORTER,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
707,INV168084-11245A,11/15/2024," 2,916.80 ",IMPROPER HANDLING - COIN SORTER,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
5013,INV168084-11245A,11/15/2024, 320.25 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
1833,INV168084-11245A,11/15/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
7206,INV168084-11245A,11/15/2024," 1,517.57 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5451,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
4623,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
5274,INV168084-11245A,11/15/2024, 313.50 ,IMPROPER HANDLING - HOPPERS,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
3182,INV168084-11245A,11/15/2024, 322.50 ,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
4160,INV168084-11245A,11/15/2024, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
5717,INV168084-11245A,11/15/2024, 351.81 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2463,INV168084-11245A,11/15/2024, 324.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
987,INV168084-11245A,11/15/2024, 425.00 ,IMPROPER HANDLING - COIN SORTER,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
1566,INV168084-11245A,11/15/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
2287,INV168084-11245A,11/15/2024, 318.00 ,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
4603,INV168084-11245A,11/15/2024, 300.00 ,NON DEVICE RELATED ISSUES,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
5433,INV168084-11245A,11/15/2024," 2,809.05 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5617,INV168084-11245A,11/15/2024, 312.26 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1653,INV168084-11245A,11/22/2024, 699.50 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5140,INV168084-11245A,11/22/2024, 426.83 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5854,INV168084-11245A,11/22/2024," 1,196.16 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1179,INV168084-11245A,11/22/2024, 517.58 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5747,INV168084-11245A,11/22/2024," 2,916.80 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5670,INV168084-11245A,11/22/2024, 443.53 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
908,INV168084-11245A,11/22/2024," 1,585.57 ",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
3492,INV168084-11245A,11/22/2024, 322.50 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
3739,INV168084-11245A,11/22/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,COIN AUDIT: Coin Audit,
1035,INV168084-11245A,11/22/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,COIN AUDIT: Coin Audit,
PR02501,INV168084-11245A,11/22/2024, 334.50 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
1525,INV168084-11245A,11/22/2024, 971.99 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5036,INV168084-11245A,11/22/2024, 307.59 ,IMPROPER HANDLING - VAULT,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
465,INV168084-11245A,11/22/2024, 324.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
741,INV168084-11245A,11/22/2024, 327.00 ,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
359,INV168084-11245A,11/22/2024, 329.25 ,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
1112,INV168084-11245A,11/22/2024, 372.20 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
3401,INV168084-11245A,11/22/2024, 372.20 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
242,INV168084-11245A,11/22/2024, 406.62 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1863,INV168084-11245A,11/22/2024, 517.58 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1717,INV168084-11245A,11/22/2024," 1,175.48 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2136,INV168084-11245A,11/22/2024, 425.00 ,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
344,INV168084-11245A,11/22/2024," 2,690.42 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
344,INV168084-11245A,11/22/2024, 884.08 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
5480,INV168084-11245A,11/22/2024, 402.90 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
1163,INV168084-11245A,11/22/2024, 407.37 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
2928,INV168084-11245A,11/22/2024, 405.69 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
222,INV168084-11245A,11/22/2024, 440.42 ,IMPROPER HANDLING - CASSETTES,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
6254,INV168084-11245A,11/22/2024, 425.00 ,FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,
2475,INV168084-11245A,11/22/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
PR06270,INV168084-11245A,11/22/2024," 1,848.71 ",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
2821,INV168084-11245A,11/22/2024," 1,578.13 ",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
5102,INV168084-11245A,11/22/2024," 1,810.58 ",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
805,INV168084-11245A,11/22/2024," 1,559.14 ",IMPROPER HANDLING - CASSETTES,BNR,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",
4409,INV168084-11245A,11/22/2024, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
1146,INV168084-11245A,11/22/2024, 657.23 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
2715,INV168084-11245A,11/22/2024, 792.99 ,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
8228,INV168084-11245A,11/22/2024, 563.41 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5320,INV168084-11245A,11/22/2024, 320.25 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5320,INV168084-11245A,11/22/2024, 735.06 ,IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
4801,INV168084-11245A,11/22/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
5817,INV168084-11245A,11/22/2024, 339.80 ,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
4450,INV168084-11245A,11/22/2024, 300.00 ,IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",
5346,INV168084-11245A,11/22/2024, 686.84 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
326,INV168084-11245A,11/22/2024, 795.78 ,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",
5078,INV168084-11245A,11/22/2024, 324.90 ,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
5453,INV168084-11245A,11/22/2024, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
2422,INV168084-11245A,11/22/2024, 300.00 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
7290,INV168084-11245A,11/22/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
1664,INV168084-11245A,11/22/2024, 320.25 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
3417,INV168084-11245A,11/22/2024, 909.46 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
778,INV168084-11245A,11/22/2024, 425.00 ,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,
5810,INV168084-11245A,11/22/2024, 757.04 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,
1853,INV168084-11245A,11/22/2024, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
5231,INV168084-11245A,11/22/2024, 425.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,
6375,INV168084-11245A,11/22/2024, 320.55 ,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,
2030,INV168084-11245A,11/22/2024, 300.00 ,IMPROPER HANDLING - GAS SPRING,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
3220,INV168084-11245A,11/22/2024," 2,776.55 ",NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,
429,INV168084-11245A,11/22/2024, 324.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,
825,INV168084-11245A,11/22/2024, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,
6408,INV168084-11245A,11/22/2024, 324.57 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",
