Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
14473,,,,,,,,,,,,,,
14474,,,,,,,,,,,,,,
14475,,,,,,,,,,,,,,
14476,,,,,,,,,,,,,,
14477,,,,,,,,,,,,,,
14478,,,,,,,,,,,,,,
14479,,,,,,,,,,,,,,
14480,,,,,,,,,,,,,,
14481,,,,,,,,,,,,,,
14482,,,,,,,,,,,,,,
14483,,,,,,,,,,,,,,
14484,,,,,,,,,,,,,,
14485,,,,,,,,,,,,,,
14486,,,,,,,,,,,,,,
14487,,,,,,,,,,,,,,
14488,,,,,,,,,,,,,,
14489,,,,,,,,,,,,,,
14490,,,,,,,,,,,,,,
14491,,,,,,,,,,,,,,
14492,,,,,,,,,,,,,,
14493,,,,,,,,,,,,,,
14494,,,,,,,,,,,,,,
14495,,,,,,,,,,,,,,
14496,,,,,,,,,,,,,,
14497,,,,,,,,,,,,,,
14498,,,,,,,,,,,,,,
14499,,,,,,,,,,,,,,
14500,,,,,,,,,,,,,,
14501,,,,,,,,,,,,,,
14502,,,,,,,,,,,,,,
14503,,,,,,,,,,,,,,
14504,,,,,,,,,,,,,,
14505,,,,,,,,,,,,,,
14506,,,,,,,,,,,,,,
14507,,,,,,,,,,,,,,
14508,,,,,,,,,,,,,,
14509,,,,,,,,,,,,,,
14510,,,,,,,,,,,,,,
14511,,,,,,,,,,,,,,
14512,,,,,,,,,,,,,,
14513,,,,,,,,,,,,,,
14514,,,,,,,,,,,,,,
14515,,,,,,,,,,,,,,
14516,,,,,,,,,,,,,,
14517,,,,,,,,,,,,,,
14518,,,,,,,,,,,,,,
14519,,,,,,,,,,,,,,
14520,,,,,,,,,,,,,,
14521,,,,,,,,,,,,,,
14522,,,,,,,,,,,,,,
14523,,,,,,,,,,,,,,
14524,,,,,,,,,,,,,,
14525,,,,,,,,,,,,,,
14526,,,,,,,,,,,,,,
14527,,,,,,,,,,,,,,
14528,,,,,,,,,,,,,,
14529,,,,,,,,,,,,,,
14530,,,,,,,,,,,,,,
14531,,,,,,,,,,,,,,
14532,,,,,,,,,,,,,,
14533,,,,,,,,,,,,,,
14534,,,,,,,,,,,,,,
14535,,,,,,,,,,,,,,
14536,,,,,,,,,,,,,,
14537,,,,,,,,,,,,,,
14538,,,,,,,,,,,,,,
14539,,,,,,,,,,,,,,
14540,,,,,,,,,,,,,,
14541,,,,,,,,,,,,,,
14542,,,,,,,,,,,,,,
14543,,,,,,,,,,,,,,
14544,,,,,,,,,,,,,,
14545,,,,,,,,,,,,,,
14546,,,,,,,,,,,,,,
14547,,,,,,,,,,,,,,
14548,,,,,,,,,,,,,,
14549,,,,,,,,,,,,,,
14550,,,,,,,,,,,,,,
14551,,,,,,,,,,,,,,
14552,,,,,,,,,,,,,,
14553,,,,,,,,,,,,,,
14554,,,,,,,,,,,,,,
14555,,,,,,,,,,,,,,
14556,,,,,,,,,,,,,,
14557,,,,,,,,,,,,,,
14558,,,,,,,,,,,,,,
14559,,,,,,,,,,,,,,
14560,,,,,,,,,,,,,,
14561,,,,,,,,,,,,,,
14562,,,,,,,,,,,,,,
14563,,,,,,,,,,,,,,
14564,,,,,,,,,,,,,,
14565,,,,,,,,,,,,,,
14566,,,,,,,,,,,,,,
14567,,,,,,,,,,,,,,
14568,,,,,,,,,,,,,,
14569,,,,,,,,,,,,,,
14570,,,,,,,,,,,,,,
14571,,,,,,,,,,,,,,
14572,,,,,,,,,,,,,,
14573,,,,,,,,,,,,,,
14574,,,,,,,,,,,,,,
14575,,,,,,,,,,,,,,
14576,,,,,,,,,,,,,,
14577,,,,,,,,,,,,,,
14578,,,,,,,,,,,,,,
14579,,,,,,,,,,,,,,
14580,,,,,,,,,,,,,,
14581,,,,,,,,,,,,,,
14582,,,,,,,,,,,,,,
14583,,,,,,,,,,,,,,
14584,,,,,,,,,,,,,,
14585,,,,,,,,,,,,,,
14586,,,,,,,,,,,,,,
14587,,,,,,,,,,,,,,
14588,,,,,,,,,,,,,,
14589,,,,,,,,,,,,,,
14590,,,,,,,,,,,,,,
14591,,,,,,,,,,,,,,
14592,,,,,,,,,,,,,,
14593,,,,,,,,,,,,,,
14594,,,,,,,,,,,,,,
14595,,,,,,,,,,,,,,
14596,,,,,,,,,,,,,,
14597,,,,,,,,,,,,,,
14598,,,,,,,,,,,,,,
14599,,,,,,,,,,,,,,
14600,,,,,,,,,,,,,,
14601,,,,,,,,,,,,,,
14602,,,,,,,,,,,,,,
14603,,,,,,,,,,,,,,
14604,,,,,,,,,,,,,,
14605,,,,,,,,,,,,,,
14606,,,,,,,,,,,,,,
14607,,,,,,,,,,,,,,
14608,,,,,,,,,,,,,,
14609,,,,,,,,,,,,,,
14610,,,,,,,,,,,,,,
14611,,,,,,,,,,,,,,
14612,,,,,,,,,,,,,,
14613,,,,,,,,,,,,,,
14614,,,,,,,,,,,,,,
14615,,,,,,,,,,,,,,
14616,,,,,,,,,,,,,,
14617,,,,,,,,,,,,,,
14618,,,,,,,,,,,,,,
14619,,,,,,,,,,,,,,
14620,,,,,,,,,,,,,,
14621,,,,,,,,,,,,,,
14622,,,,,,,,,,,,,,
14623,,,,,,,,,,,,,,
14624,,,,,,,,,,,,,,
14625,,,,,,,,,,,,,,
14626,,,,,,,,,,,,,,
14627,,,,,,,,,,,,,,
14628,,,,,,,,,,,,,,
14629,,,,,,,,,,,,,,
14630,,,,,,,,,,,,,,
14631,,,,,,,,,,,,,,
14632,,,,,,,,,,,,,,
14633,,,,,,,,,,,,,,
14634,,,,,,,,,,,,,,
14635,,,,,,,,,,,,,,
14636,,,,,,,,,,,,,,
14637,,,,,,,,,,,,,,
14638,,,,,,,,,,,,,,
14639,,,,,,,,,,,,,,
14640,,,,,,,,,,,,,,
14641,,,,,,,,,,,,,,
14642,,,,,,,,,,,,,,
14643,,,,,,,,,,,,,,
14644,,,,,,,,,,,,,,
14645,,,,,,,,,,,,,,
14646,,,,,,,,,,,,,,
14647,,,,,,,,,,,,,,
14648,,,,,,,,,,,,,,
14649,,,,,,,,,,,,,,
14650,,,,,,,,,,,,,,
14651,,,,,,,,,,,,,,
14652,,,,,,,,,,,,,,
14653,,,,,,,,,,,,,,
14654,,,,,,,,,,,,,,
14655,,,,,,,,,,,,,,
14656,,,,,,,,,,,,,,
14657,,,,,,,,,,,,,,
14658,,,,,,,,,,,,,,
14659,,,,,,,,,,,,,,
14660,,,,,,,,,,,,,,
14661,,,,,,,,,,,,,,
14662,,,,,,,,,,,,,,
14663,,,,,,,,,,,,,,
14664,,,,,,,,,,,,,,
14665,,,,,,,,,,,,,,
14666,,,,,,,,,,,,,,
14667,,,,,,,,,,,,,,
14668,,,,,,,,,,,,,,
14669,,,,,,,,,,,,,,
14670,,,,,,,,,,,,,,
14671,,,,,,,,,,,,,,
14672,,,,,,,,,,,,,,
14673,,,,,,,,,,,,,,
14674,,,,,,,,,,,,,,
14675,,,,,,,,,,,,,,
14676,,,,,,,,,,,,,,
14677,,,,,,,,,,,,,,
14678,,,,,,,,,,,,,,
14679,,,,,,,,,,,,,,
14680,,,,,,,,,,,,,,
14681,,,,,,,,,,,,,,
14682,,,,,,,,,,,,,,
14683,,,,,,,,,,,,,,
14684,,,,,,,,,,,,,,
14685,,,,,,,,,,,,,,
14686,,,,,,,,,,,,,,
14687,,,,,,,,,,,,,,
14688,,,,,,,,,,,,,,
14689,,,,,,,,,,,,,,
14690,,,,,,,,,,,,,,
14691,,,,,,,,,,,,,,
14692,,,,,,,,,,,,,,
14693,,,,,,,,,,,,,,
14694,,,,,,,,,,,,,,
14695,,,,,,,,,,,,,,
14696,,,,,,,,,,,,,,
14697,,,,,,,,,,,,,,
14698,,,,,,,,,,,,,,
14699,,,,,,,,,,,,,,
14700,,,,,,,,,,,,,,
14701,,,,,,,,,,,,,,
14702,,,,,,,,,,,,,,
14703,,,,,,,,,,,,,,
14704,,,,,,,,,,,,,,
14705,,,,,,,,,,,,,,
14706,,,,,,,,,,,,,,
14707,,,,,,,,,,,,,,
14708,,,,,,,,,,,,,,
14709,,,,,,,,,,,,,,
14710,,,,,,,,,,,,,,
14711,,,,,,,,,,,,,,
14712,,,,,,,,,,,,,,
14713,,,,,,,,,,,,,,
14714,,,,,,,,,,,,,,
14715,,,,,,,,,,,,,,
14716,,,,,,,,,,,,,,
14717,,,,,,,,,,,,,,
14718,,,,,,,,,,,,,,
14719,,,,,,,,,,,,,,
14720,,,,,,,,,,,,,,
14721,,,,,,,,,,,,,,
14722,,,,,,,,,,,,,,
14723,,,,,,,,,,,,,,
14724,,,,,,,,,,,,,,
14725,,,,,,,,,,,,,,
14726,,,,,,,,,,,,,,
14727,,,,,,,,,,,,,,
14728,,,,,,,,,,,,,,
14729,,,,,,,,,,,,,,
14730,,,,,,,,,,,,,,
14731,,,,,,,,,,,,,,
14732,,,,,,,,,,,,,,
14733,,,,,,,,,,,,,,
14734,,,,,,,,,,,,,,
14735,,,,,,,,,,,,,,
14736,,,,,,,,,,,,,,
14737,,,,,,,,,,,,,,
14738,,,,,,,,,,,,,,
14739,,,,,,,,,,,,,,
14740,,,,,,,,,,,,,,
14741,,,,,,,,,,,,,,
14742,,,,,,,,,,,,,,
14743,,,,,,,,,,,,,,
14744,,,,,,,,,,,,,,
14745,,,,,,,,,,,,,,
14746,,,,,,,,,,,,,,
14747,,,,,,,,,,,,,,
14748,,,,,,,,,,,,,,
14749,,,,,,,,,,,,,,
14750,,,,,,,,,,,,,,
14751,,,,,,,,,,,,,,
14752,,,,,,,,,,,,,,
14753,,,,,,,,,,,,,,
14754,,,,,,,,,,,,,,
14755,,,,,,,,,,,,,,
14756,,,,,,,,,,,,,,
14757,,,,,,,,,,,,,,
14758,,,,,,,,,,,,,,
14759,,,,,,,,,,,,,,
14760,,,,,,,,,,,,,,
14761,,,,,,,,,,,,,,
14762,,,,,,,,,,,,,,
14763,,,,,,,,,,,,,,
14764,,,,,,,,,,,,,,
14765,,,,,,,,,,,,,,
14766,,,,,,,,,,,,,,
14767,,,,,,,,,,,,,,
14768,,,,,,,,,,,,,,
14769,,,,,,,,,,,,,,
14770,,,,,,,,,,,,,,
14771,,,,,,,,,,,,,,
14772,,,,,,,,,,,,,,
14773,,,,,,,,,,,,,,
14774,,,,,,,,,,,,,,
14775,,,,,,,,,,,,,,
14776,,,,,,,,,,,,,,
14777,,,,,,,,,,,,,,
14778,,,,,,,,,,,,,,
14779,,,,,,,,,,,,,,
14780,,,,,,,,,,,,,,
14781,,,,,,,,,,,,,,
14782,,,,,,,,,,,,,,
14783,,,,,,,,,,,,,,
14784,,,,,,,,,,,,,,
14785,,,,,,,,,,,,,,
14786,,,,,,,,,,,,,,
14787,,,,,,,,,,,,,,
14788,,,,,,,,,,,,,,
14789,,,,,,,,,,,,,,
14790,,,,,,,,,,,,,,
14791,,,,,,,,,,,,,,
14792,,,,,,,,,,,,,,
14793,,,,,,,,,,,,,,
14794,,,,,,,,,,,,,,
14795,,,,,,,,,,,,,,
14796,,,,,,,,,,,,,,
14797,,,,,,,,,,,,,,
14798,,,,,,,,,,,,,,
14799,,,,,,,,,,,,,,
14800,,,,,,,,,,,,,,
14801,,,,,,,,,,,,,,
14802,,,,,,,,,,,,,,
14803,,,,,,,,,,,,,,
14804,,,,,,,,,,,,,,
14805,,,,,,,,,,,,,,
14806,,,,,,,,,,,,,,
14807,,,,,,,,,,,,,,
14808,,,,,,,,,,,,,,
14809,,,,,,,,,,,,,,
14810,,,,,,,,,,,,,,
14811,,,,,,,,,,,,,,
14812,,,,,,,,,,,,,,
14813,,,,,,,,,,,,,,
14814,,,,,,,,,,,,,,
14815,,,,,,,,,,,,,,
14816,,,,,,,,,,,,,,
14817,,,,,,,,,,,,,,
14818,,,,,,,,,,,,,,
14819,,,,,,,,,,,,,,
14820,,,,,,,,,,,,,,
14821,,,,,,,,,,,,,,
14822,,,,,,,,,,,,,,
14823,,,,,,,,,,,,,,
14824,,,,,,,,,,,,,,
14825,,,,,,,,,,,,,,
14826,,,,,,,,,,,,,,
14827,,,,,,,,,,,,,,
14828,,,,,,,,,,,,,,
14829,,,,,,,,,,,,,,
14830,,,,,,,,,,,,,,
14831,,,,,,,,,,,,,,
14832,,,,,,,,,,,,,,
14833,,,,,,,,,,,,,,
14834,,,,,,,,,,,,,,
14835,,,,,,,,,,,,,,
14836,,,,,,,,,,,,,,
14837,,,,,,,,,,,,,,
14838,,,,,,,,,,,,,,
14839,,,,,,,,,,,,,,
14840,,,,,,,,,,,,,,
14841,,,,,,,,,,,,,,
14842,,,,,,,,,,,,,,
14843,,,,,,,,,,,,,,
14844,,,,,,,,,,,,,,
14845,,,,,,,,,,,,,,
14846,,,,,,,,,,,,,,
14847,,,,,,,,,,,,,,
14848,,,,,,,,,,,,,,
14849,,,,,,,,,,,,,,
14850,,,,,,,,,,,,,,
14851,,,,,,,,,,,,,,
14852,,,,,,,,,,,,,,
14853,,,,,,,,,,,,,,
14854,,,,,,,,,,,,,,
14855,,,,,,,,,,,,,,
14856,,,,,,,,,,,,,,
14857,,,,,,,,,,,,,,
14858,,,,,,,,,,,,,,
14859,,,,,,,,,,,,,,
14860,,,,,,,,,,,,,,
14861,,,,,,,,,,,,,,
14862,,,,,,,,,,,,,,
14863,,,,,,,,,,,,,,
14864,,,,,,,,,,,,,,
14865,,,,,,,,,,,,,,
14866,,,,,,,,,,,,,,
14867,,,,,,,,,,,,,,
14868,,,,,,,,,,,,,,
14869,,,,,,,,,,,,,,
14870,,,,,,,,,,,,,,
14871,,,,,,,,,,,,,,
14872,,,,,,,,,,,,,,
14873,,,,,,,,,,,,,,
14874,,,,,,,,,,,,,,
14875,,,,,,,,,,,,,,
14876,,,,,,,,,,,,,,
14877,,,,,,,,,,,,,,
14878,,,,,,,,,,,,,,
14879,,,,,,,,,,,,,,
14880,,,,,,,,,,,,,,
14881,,,,,,,,,,,,,,
14882,,,,,,,,,,,,,,
14883,,,,,,,,,,,,,,
14884,,,,,,,,,,,,,,
14885,,,,,,,,,,,,,,
14886,,,,,,,,,,,,,,
14887,,,,,,,,,,,,,,
14888,,,,,,,,,,,,,,
14889,,,,,,,,,,,,,,
14890,,,,,,,,,,,,,,
14891,,,,,,,,,,,,,,
14892,,,,,,,,,,,,,,
14893,,,,,,,,,,,,,,
14894,,,,,,,,,,,,,,
14895,,,,,,,,,,,,,,
14896,,,,,,,,,,,,,,
14897,,,,,,,,,,,,,,
14898,,,,,,,,,,,,,,
14899,,,,,,,,,,,,,,
14900,,,,,,,,,,,,,,
14901,,,,,,,,,,,,,,
14902,,,,,,,,,,,,,,
14903,,,,,,,,,,,,,,
14904,,,,,,,,,,,,,,
14905,,,,,,,,,,,,,,
14906,,,,,,,,,,,,,,
14907,,,,,,,,,,,,,,
14908,,,,,,,,,,,,,,
14909,,,,,,,,,,,,,,
14910,,,,,,,,,,,,,,
14911,,,,,,,,,,,,,,
14912,,,,,,,,,,,,,,
14913,,,,,,,,,,,,,,
14914,,,,,,,,,,,,,,
14915,,,,,,,,,,,,,,
14916,,,,,,,,,,,,,,
14917,,,,,,,,,,,,,,
14918,,,,,,,,,,,,,,
14919,,,,,,,,,,,,,,
14920,,,,,,,,,,,,,,
14921,,,,,,,,,,,,,,
14922,,,,,,,,,,,,,,
14923,,,,,,,,,,,,,,
14924,,,,,,,,,,,,,,
14925,,,,,,,,,,,,,,
14926,,,,,,,,,,,,,,
14927,,,,,,,,,,,,,,
14928,,,,,,,,,,,,,,
14929,,,,,,,,,,,,,,
14930,,,,,,,,,,,,,,
14931,,,,,,,,,,,,,,
14932,,,,,,,,,,,,,,
14933,,,,,,,,,,,,,,
14934,,,,,,,,,,,,,,
14935,,,,,,,,,,,,,,
14936,,,,,,,,,,,,,,
14937,,,,,,,,,,,,,,
14938,,,,,,,,,,,,,,
14939,,,,,,,,,,,,,,
14940,,,,,,,,,,,,,,
14941,,,,,,,,,,,,,,
14942,,,,,,,,,,,,,,
14943,,,,,,,,,,,,,,
14944,,,,,,,,,,,,,,
14945,,,,,,,,,,,,,,
14946,,,,,,,,,,,,,,
14947,,,,,,,,,,,,,,
14948,,,,,,,,,,,,,,
14949,,,,,,,,,,,,,,
14950,,,,,,,,,,,,,,
14951,,,,,,,,,,,,,,
14952,,,,,,,,,,,,,,
14953,,,,,,,,,,,,,,
14954,,,,,,,,,,,,,,
14955,,,,,,,,,,,,,,
14956,,,,,,,,,,,,,,
14957,,,,,,,,,,,,,,
14958,,,,,,,,,,,,,,
14959,,,,,,,,,,,,,,
14960,,,,,,,,,,,,,,
14961,,,,,,,,,,,,,,
14962,,,,,,,,,,,,,,
14963,,,,,,,,,,,,,,
14964,,,,,,,,,,,,,,
14965,,,,,,,,,,,,,,
14966,,,,,,,,,,,,,,
14967,,,,,,,,,,,,,,
14968,,,,,,,,,,,,,,
14969,,,,,,,,,,,,,,
14970,,,,,,,,,,,,,,
14971,,,,,,,,,,,,,,
14972,,,,,,,,,,,,,,
14973,,,,,,,,,,,,,,
14974,,,,,,,,,,,,,,
14975,,,,,,,,,,,,,,
14976,,,,,,,,,,,,,,
14977,,,,,,,,,,,,,,
14978,,,,,,,,,,,,,,
14979,,,,,,,,,,,,,,
14980,,,,,,,,,,,,,,
14981,,,,,,,,,,,,,,
14982,,,,,,,,,,,,,,
14983,,,,,,,,,,,,,,
14984,,,,,,,,,,,,,,
14985,,,,,,,,,,,,,,
14986,,,,,,,,,,,,,,
14987,,,,,,,,,,,,,,
14988,,,,,,,,,,,,,,
14989,,,,,,,,,,,,,,
14990,,,,,,,,,,,,,,
14991,,,,,,,,,,,,,,
14992,,,,,,,,,,,,,,
14993,,,,,,,,,,,,,,
14994,,,,,,,,,,,,,,
14995,,,,,,,,,,,,,,
14996,,,,,,,,,,,,,,
14997,,,,,,,,,,,,,,
14998,,,,,,,,,,,,,,
14999,,,,,,,,,,,,,,
15000,,,,,,,,,,,,,,
15001,,,,,,,,,,,,,,
15002,,,,,,,,,,,,,,
15003,,,,,,,,,,,,,,
15004,,,,,,,,,,,,,,
15005,,,,,,,,,,,,,,
15006,,,,,,,,,,,,,,
15007,,,,,,,,,,,,,,
15008,,,,,,,,,,,,,,
15009,,,,,,,,,,,,,,
15010,,,,,,,,,,,,,,
15011,,,,,,,,,,,,,,
15012,,,,,,,,,,,,,,
15013,,,,,,,,,,,,,,
15014,,,,,,,,,,,,,,
15015,,,,,,,,,,,,,,
15016,,,,,,,,,,,,,,
15017,,,,,,,,,,,,,,
15018,,,,,,,,,,,,,,
15019,,,,,,,,,,,,,,
15020,,,,,,,,,,,,,,
15021,,,,,,,,,,,,,,
15022,,,,,,,,,,,,,,
15023,,,,,,,,,,,,,,
15024,,,,,,,,,,,,,,
15025,,,,,,,,,,,,,,
15026,,,,,,,,,,,,,,
15027,,,,,,,,,,,,,,
15028,,,,,,,,,,,,,,
15029,,,,,,,,,,,,,,
15030,,,,,,,,,,,,,,
15031,,,,,,,,,,,,,,
15032,,,,,,,,,,,,,,
15033,,,,,,,,,,,,,,
15034,,,,,,,,,,,,,,
15035,,,,,,,,,,,,,,
15036,,,,,,,,,,,,,,
15037,,,,,,,,,,,,,,
15038,,,,,,,,,,,,,,
15039,,,,,,,,,,,,,,
15040,,,,,,,,,,,,,,
15041,,,,,,,,,,,,,,
15042,,,,,,,,,,,,,,
15043,,,,,,,,,,,,,,
15044,,,,,,,,,,,,,,
15045,,,,,,,,,,,,,,
15046,,,,,,,,,,,,,,
15047,,,,,,,,,,,,,,
15048,,,,,,,,,,,,,,
15049,,,,,,,,,,,,,,
15050,,,,,,,,,,,,,,
15051,,,,,,,,,,,,,,
15052,,,,,,,,,,,,,,
15053,,,,,,,,,,,,,,
15054,,,,,,,,,,,,,,
15055,,,,,,,,,,,,,,
15056,,,,,,,,,,,,,,
15057,,,,,,,,,,,,,,
15058,,,,,,,,,,,,,,
15059,,,,,,,,,,,,,,
15060,,,,,,,,,,,,,,
15061,,,,,,,,,,,,,,
15062,,,,,,,,,,,,,,
15063,,,,,,,,,,,,,,
15064,,,,,,,,,,,,,,
15065,,,,,,,,,,,,,,
15066,,,,,,,,,,,,,,
15067,,,,,,,,,,,,,,
15068,,,,,,,,,,,,,,
15069,,,,,,,,,,,,,,
15070,,,,,,,,,,,,,,
15071,,,,,,,,,,,,,,
15072,,,,,,,,,,,,,,
15073,,,,,,,,,,,,,,
15074,,,,,,,,,,,,,,
15075,,,,,,,,,,,,,,
15076,,,,,,,,,,,,,,
15077,,,,,,,,,,,,,,
15078,,,,,,,,,,,,,,
15079,,,,,,,,,,,,,,
15080,,,,,,,,,,,,,,
15081,,,,,,,,,,,,,,
15082,,,,,,,,,,,,,,
15083,,,,,,,,,,,,,,
15084,,,,,,,,,,,,,,
15085,,,,,,,,,,,,,,
15086,,,,,,,,,,,,,,
15087,,,,,,,,,,,,,,
15088,,,,,,,,,,,,,,
15089,,,,,,,,,,,,,,
15090,,,,,,,,,,,,,,
15091,,,,,,,,,,,,,,
15092,,,,,,,,,,,,,,
15093,,,,,,,,,,,,,,
15094,,,,,,,,,,,,,,
15095,,,,,,,,,,,,,,
15096,,,,,,,,,,,,,,
15097,,,,,,,,,,,,,,
15098,,,,,,,,,,,,,,
15099,,,,,,,,,,,,,,
15100,,,,,,,,,,,,,,
15101,,,,,,,,,,,,,,
15102,,,,,,,,,,,,,,
15103,,,,,,,,,,,,,,
15104,,,,,,,,,,,,,,
15105,,,,,,,,,,,,,,
15106,,,,,,,,,,,,,,
15107,,,,,,,,,,,,,,
15108,,,,,,,,,,,,,,
15109,,,,,,,,,,,,,,
15110,,,,,,,,,,,,,,
15111,,,,,,,,,,,,,,
15112,,,,,,,,,,,,,,
15113,,,,,,,,,,,,,,
15114,,,,,,,,,,,,,,
15115,,,,,,,,,,,,,,
15116,,,,,,,,,,,,,,
15117,,,,,,,,,,,,,,
15118,,,,,,,,,,,,,,
15119,,,,,,,,,,,,,,
15120,,,,,,,,,,,,,,
15121,,,,,,,,,,,,,,
15122,,,,,,,,,,,,,,
15123,,,,,,,,,,,,,,
15124,,,,,,,,,,,,,,
15125,,,,,,,,,,,,,,
15126,,,,,,,,,,,,,,
15127,,,,,,,,,,,,,,
15128,,,,,,,,,,,,,,
15129,,,,,,,,,,,,,,
15130,,,,,,,,,,,,,,
15131,,,,,,,,,,,,,,
15132,,,,,,,,,,,,,,
15133,,,,,,,,,,,,,,
15134,,,,,,,,,,,,,,
15135,,,,,,,,,,,,,,
15136,,,,,,,,,,,,,,
15137,,,,,,,,,,,,,,
15138,,,,,,,,,,,,,,
15139,,,,,,,,,,,,,,
15140,,,,,,,,,,,,,,
15141,,,,,,,,,,,,,,
15142,,,,,,,,,,,,,,
15143,,,,,,,,,,,,,,
15144,,,,,,,,,,,,,,
15145,,,,,,,,,,,,,,
15146,,,,,,,,,,,,,,
15147,,,,,,,,,,,,,,
15148,,,,,,,,,,,,,,
15149,,,,,,,,,,,,,,
15150,,,,,,,,,,,,,,
15151,,,,,,,,,,,,,,
15152,,,,,,,,,,,,,,
15153,,,,,,,,,,,,,,
15154,,,,,,,,,,,,,,
15155,,,,,,,,,,,,,,
15156,,,,,,,,,,,,,,
15157,,,,,,,,,,,,,,
15158,,,,,,,,,,,,,,
15159,,,,,,,,,,,,,,
15160,,,,,,,,,,,,,,
15161,,,,,,,,,,,,,,
15162,,,,,,,,,,,,,,
15163,,,,,,,,,,,,,,
15164,,,,,,,,,,,,,,
15165,,,,,,,,,,,,,,
15166,,,,,,,,,,,,,,
15167,,,,,,,,,,,,,,
15168,,,,,,,,,,,,,,
15169,,,,,,,,,,,,,,
15170,,,,,,,,,,,,,,
15171,,,,,,,,,,,,,,
15172,,,,,,,,,,,,,,
15173,,,,,,,,,,,,,,
15174,,,,,,,,,,,,,,
15175,,,,,,,,,,,,,,
15176,,,,,,,,,,,,,,
15177,,,,,,,,,,,,,,
15178,,,,,,,,,,,,,,
15179,,,,,,,,,,,,,,
15180,,,,,,,,,,,,,,
15181,,,,,,,,,,,,,,
15182,,,,,,,,,,,,,,
15183,,,,,,,,,,,,,,
15184,,,,,,,,,,,,,,
15185,,,,,,,,,,,,,,
15186,,,,,,,,,,,,,,
15187,,,,,,,,,,,,,,
15188,,,,,,,,,,,,,,
15189,,,,,,,,,,,,,,
15190,,,,,,,,,,,,,,
15191,,,,,,,,,,,,,,
15192,,,,,,,,,,,,,,
15193,,,,,,,,,,,,,,
15194,,,,,,,,,,,,,,
15195,,,,,,,,,,,,,,
15196,,,,,,,,,,,,,,
15197,,,,,,,,,,,,,,
15198,,,,,,,,,,,,,,
15199,,,,,,,,,,,,,,
15200,,,,,,,,,,,,,,
15201,,,,,,,,,,,,,,
15202,,,,,,,,,,,,,,
15203,,,,,,,,,,,,,,
15204,,,,,,,,,,,,,,
15205,,,,,,,,,,,,,,
15206,,,,,,,,,,,,,,
15207,,,,,,,,,,,,,,
15208,,,,,,,,,,,,,,
15209,,,,,,,,,,,,,,
15210,,,,,,,,,,,,,,
15211,,,,,,,,,,,,,,
15212,,,,,,,,,,,,,,
15213,,,,,,,,,,,,,,
15214,,,,,,,,,,,,,,
15215,,,,,,,,,,,,,,
15216,,,,,,,,,,,,,,
15217,,,,,,,,,,,,,,
15218,,,,,,,,,,,,,,
15219,,,,,,,,,,,,,,
15220,,,,,,,,,,,,,,
15221,,,,,,,,,,,,,,
15222,,,,,,,,,,,,,,
15223,,,,,,,,,,,,,,
15224,,,,,,,,,,,,,,
15225,,,,,,,,,,,,,,
15226,,,,,,,,,,,,,,
15227,,,,,,,,,,,,,,
15228,,,,,,,,,,,,,,
15229,,,,,,,,,,,,,,
15230,,,,,,,,,,,,,,
15231,,,,,,,,,,,,,,
15232,,,,,,,,,,,,,,
15233,,,,,,,,,,,,,,
15234,,,,,,,,,,,,,,
15235,,,,,,,,,,,,,,
15236,,,,,,,,,,,,,,
15237,,,,,,,,,,,,,,
15238,,,,,,,,,,,,,,
15239,,,,,,,,,,,,,,
15240,,,,,,,,,,,,,,
15241,,,,,,,,,,,,,,
15242,,,,,,,,,,,,,,
15243,,,,,,,,,,,,,,
15244,,,,,,,,,,,,,,
15245,,,,,,,,,,,,,,
15246,,,,,,,,,,,,,,
15247,,,,,,,,,,,,,,
15248,,,,,,,,,,,,,,
15249,,,,,,,,,,,,,,
15250,,,,,,,,,,,,,,
15251,,,,,,,,,,,,,,
15252,,,,,,,,,,,,,,
15253,,,,,,,,,,,,,,
15254,,,,,,,,,,,,,,
15255,,,,,,,,,,,,,,
15256,,,,,,,,,,,,,,
15257,,,,,,,,,,,,,,
15258,,,,,,,,,,,,,,
15259,,,,,,,,,,,,,,
15260,,,,,,,,,,,,,,
15261,,,,,,,,,,,,,,
15262,,,,,,,,,,,,,,
15263,,,,,,,,,,,,,,
15264,,,,,,,,,,,,,,
15265,,,,,,,,,,,,,,
15266,,,,,,,,,,,,,,
15267,,,,,,,,,,,,,,
15268,,,,,,,,,,,,,,
15269,,,,,,,,,,,,,,
15270,,,,,,,,,,,,,,
15271,,,,,,,,,,,,,,
15272,,,,,,,,,,,,,,
15273,,,,,,,,,,,,,,
15274,,,,,,,,,,,,,,
15275,,,,,,,,,,,,,,
15276,,,,,,,,,,,,,,
15277,,,,,,,,,,,,,,
15278,,,,,,,,,,,,,,
15279,,,,,,,,,,,,,,
15280,,,,,,,,,,,,,,
15281,,,,,,,,,,,,,,
15282,,,,,,,,,,,,,,
15283,,,,,,,,,,,,,,
15284,,,,,,,,,,,,,,
15285,,,,,,,,,,,,,,
15286,,,,,,,,,,,,,,
15287,,,,,,,,,,,,,,
15288,,,,,,,,,,,,,,
15289,,,,,,,,,,,,,,
15290,,,,,,,,,,,,,,
