Primary,Business Domain,Data Group ,,,,
Spanish,Todos los Dominios,Información Laboral,Código de Trabajo,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Laboral,Ocupación/Cargo,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Membresías Profesionales,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Jefe/Supervisor,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Datos de uso de la Tarjeta de Descuento para Asociados,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Respuestas a la encuesta de colegas (anónimas),Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Respuestas a la encuesta de colegas (identificables),Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Registros de comunicaciones relacionados con acciones， pero no con individuos,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Nombre de la Empresa,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Deducciones Obligatorias del Salario del Empleado,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información de gastos,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información relacionada con la salud y la seguridad e informes de accidentes,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Ingresos/Salario/Cargos por Servicio/Otra Compensación,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información relacionada con dependientes o beneficiarios,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información de familiares， dependientes o beneficiarios,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Información Laboral,Educación y capacitación en el trabajo,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Historia laboral de asociado， evaluaciones y acciones disciplinarias,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Información Laboral,Evaluación del entrevistado y decisión de contratación,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información de Licencia,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Motivo de la Licencia,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Licencias conservadas e información relacionada,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Licencias y Membresía Profesional,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información de Oficina/Ubicación,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Detalles de contacto de los propietarios,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Porcentaje de Propiedad (para Personas Clave),No Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información relacionada con el desempeño,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Lugar de trabajo， cargo， función， grado， responsabilidades， línea jerárquica,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Referencias,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Fecha de desvinculación y motivo de la desvinculación,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Habilidades y Logros,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información de Viaje,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Registro de Visitantes,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Deducciones Voluntarias del Salario del Empleado,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Fecha de Inicio y Fecha de Finalización del Trabajo,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Reclamos de Compensación de Trabajadores,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Horario de trabajo,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Registros de Empleo (incluidos nómina， asistencia， beneficios),Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Información sobre Pagos y Beneficios,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Datos de Nómina,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Datos de Nómina (China),Sensibles,Información Personal,China
Spanish,Todos los Dominios,Información laboral,COVID y otros registros relacionados con la epidemia,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Laboral,Organigramas,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Ética,Casos de ética e información de investigación ,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Financiera,Datos de seguimiento completos o parciales (p. ej.， CVV， bloqueo de PIN/PIN o código de servicio); más de 10 dígitos del número de tarjeta de crédito o débito ,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Financiera,Número parcial de tarjeta de débito o crédito o número de cuenta de institución financiera,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Información Financiera,Número de cuenta principal (PAN) de la tarjeta de regalo sin el logotipo de la marca de la tarjeta,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Financiera,Inventario,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Financiera,Ventas， Cuentas por Cobrar， Asignaciones， Otros Ingresos,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Pronósticos,Ventas， Ventas Publicitarias， inventario， demanda， oferta,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Impuesto Global,Administración de Combustible,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Registro de Extranjero,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Licencia de Conducir o de Operador,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Licencia de Conducir o de Operador,Sensibles,Información Personal,Centro-américa
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Licencia de Conducir o de Operador,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Identificadores Gubernamentales,EIN: Número de Identificación del Empleador (para compañías con sede en los EE. UU.) ,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Tipo de Identificación del Gobierno， Emisor y Número (N.° de NI， N.° de Pasaporte， N.° de Licencia de Conducción， N.° de NHS， SSN， SIN),Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Tipo de identificación gubernamental， Emisor y Número (N.° de NI， N.° de Pasaporte， N.° de Licencia de Conducción， N.° de Servicio de Salud Pública),Sensibles,Información Personal,Centro-américa
Spanish,Todos los Dominios,Identificadores Gubernamentales,Tipo de identificación gubernamental， Emisor y Número (N.° de NI， N.° de Pasaporte， N.° de Licencia de Conducción， N.° de Servicio de Salud Pública),Sensibles,Información Personal,México
Spanish,Todos los Dominios,Identificadores Gubernamentales,Identificador del Plan de Salud o Alimentos Patrocinado por el Gobierno,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Identificación Nacional,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Identificación Nacional,Sensibles,Información Personal,Centro-américa
Spanish,Todos los Dominios,Identificadores Gubernamentales,Identificadores Nacionales para Licencias Profesionales,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de NHS,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Otro Número de Identificación Emitido por el Gobierno,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Otro Número de Identificación Emitido por el Gobierno,Sensibles,Información Personal,Centro-américa
Spanish,Todos los Dominios,Identificadores Gubernamentales,Detalles de pasaporte y visa,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Detalles de pasaporte y visa,Sensibles,Información Personal,Centro-américa
Spanish,Todos los Dominios,Identificadores Gubernamentales,N.° de RSI (Identificación fiscal irlandesa),Altamente Sensibles,Información Personal,Irlanda
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Seguro Social (SSN),Altamente Sensibles,Información Personal,EE. UU.
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Seguridad Social (SSN),Sensibles,Información Personal,México
Spanish,Todos los Dominios,Identificadores Gubernamentales,Aadhar,Altamente Sensibles,Información Personal,India
Spanish,Todos los Dominios,Identificadores Gubernamentales,RUT (Rol Único Tributario， que es el número de identificación fiscal [TIN] de Chile),Altamente Sensibles,Información Personal,Chile
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Identificación Fiscal,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Gubernamentales,Número de Registro del Vehículo,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información sobre Salud y Seguros Médicos,Fármacos， Terapias o Productos o Equipos Médicos Utilizados,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Tendencias Psicológicas,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Actividad y Comportamiento de la Prueba,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Prueba de Atributos Personales,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Código de Área de Mercado Designado,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Hábitos de Navegación en la Red,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Preferencias y Características Individuales,Habilidades Profesionales,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Datos analíticos relacionados con los comportamientos de los clientes y las preferencias de compra para crear perfiles de clientes individuales ,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Datos analíticos relacionados con los comportamientos de los clientes y las preferencias de compra para crear perfiles de clientes individuales ,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Preferencias y Características Individuales,Aptitudes,Altamente Sensibles,Información Personal,Canadá
Spanish,Todos los Dominios,Preferencias y Características Individuales,Aptitudes,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Suposiciones， predicciones， puntajes y calificaciones derivados del análisis de datos,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Comportamiento,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Tamaño de la ropa/zapato,Altamente Sensibles,Información Personal,Canadá
Spanish,Todos los Dominios,Preferencias y Características Individuales,Tamaño de la ropa/zapato,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Educación Universitaria,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Características del Consumidor,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Preferencias del Consumidor,Altamente Sensibles,Información Personal,Canadá
Spanish,Todos los Dominios,Preferencias y Características Individuales,Preferencias del Consumidor,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Requisitos Alimentarios,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Tipo de Vivienda,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Ingresos Estimados Identificados,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Indicador de Edad del Hogar,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Intereses y Pasatiempos,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Estilo de vida， intereses， actividades， gustos y aversiones,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Cantidad de Autos Propios,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Cantidad de Personas en el Hogar,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Preferencias y Características Individuales,Predisposiciones,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información Institucional,SOW/MSA/NDA/ISA (Contratos) que contienen información altamente confidencial,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Institucional,SOW/MSA/NDA/ISA (Contratos) que no contienen información altamente sensible,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Institucional,Lista de vendedores o proveedores,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Institucional,Información del nombre del socio comercial y proveedor,Sensibles,Información Comercial,Sudáfrica
Spanish,Todos los Dominios,Información Institucional,Información de ventas de productos por canal o mercado ,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Institucional,Información Massmart disponible públicamente e información que el interesado hace pública deliberadamente,No Sensibles,Información Comercial,Sudáfrica
Spanish,Todos los Dominios,Información Institucional,Información de Massmart/Massmart no disponible públicamente,Sensibles,Información Comercial,Sudáfrica
Spanish,Todos los Dominios,Información Institucional,Información no disponible públicamente de socios de negocios,Sensibles,Información Comercial,Sudáfrica
Spanish,Todos los Dominios,Información Institucional,Otra información financiera/comercial/de propiedad exclusiva y confidencial restringida de Massmart (no hecha pública por Massmart ni está disponible en el dominio público， por ejemplo， en la Oficina de Escrituras， en CIPC， etc.),Altamente Sensibles,Información Comercial,Sudáfrica
Spanish,Todos los Dominios,Actividad en Internet， aplicaciones y redes,Cartas， correo electrónico， llamadas， SMS， MMS， mensajería instantánea,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Legal,Información sobre demandas y reclamos ,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Tecnología de seguimiento en línea,Seguimiento en línea (como cookies) Nombre de los beneficiarios de la donación,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Otros Datos Varios - Solo Reino Unido,Quejas y reclamos,Altamente Sensibles,Información Personal,Reino Unido
Spanish,Todos los Dominios,Identificadores Personales,Número de Licencia Comercial,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Identificadores Personales,Número de Viajero Frecuente de la Aerolínea,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Alias o nombres anteriores,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Identificadores emitidos por Walmart (p. ej.， nombres de usuario， ID de vendedor， ID de proveedor， WIN),Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Información de Contacto Comercial,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Dirección Comercial de Contacto de la Empresa,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Número de Teléfono de Contacto de la Compañía,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Dirección Comercial de la Compañía/Miembro,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Número de Fax de la Compañía/Miembro,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Número de Teléfono de la Compañía/Miembro,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Detalles de contacto de emergencia,Altamente Sensibles,Información Personal,Canadá
Spanish,Todos los Dominios,Identificadores Personales,Detalles de contacto de emergencia,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Dirección del Hogar,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Número de Fax,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Número Telefónico del Hogar,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Dirección Postal del Hogar,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Nombre,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Ocurrencia Única de Nombre o Apellido,No Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Identificadores Personales,Número de Teléfono del Consultorio,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Número de Nómina,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Firma o Firma Electrónica,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Firma o Firma Electrónica,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Identificadores Personales,Número de Teléfono Laboral,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Registros de Identificación del Trabajador,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Identificadores Personales,Coordenadas GPS en tiempo real,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Precios,Margen,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Precios,Precio No Publicado o Futuro,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Precios,Precio Publicado o de Estantería,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Institucional de Propiedad Exclusiva,Otra Información Institucional de Propiedad Exclusiva,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Institucional de Propiedad Exclusiva,Tecnología o Datos Patentados o de Propiedad Exclusiva,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Otra Información Pública,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Teléfono Comercial,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Nombre de la Empresa ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Directores Ejecutivos,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Informes Anuales Publicados,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Información de Contacto Corporativo Publicada ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Centros de Distribución Publicados,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Materiales de Marketing Publicados ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Información Publicada de Comunicados de Prensa ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Dirección Comercial Publicada ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Direcciones IP Publicadas,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Marcas Propias Publicadas ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información Pública,Número Publicado de Tiendas y Tiendas Minoristas de Pies Cuadrados Disponibles Públicamente ,No Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información sobre el Historial de Compras,Historial de pedidos/compras (bienes y servicios comprados),Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Información sobre el Historial de Compras,Historial de pedidos/compras de Clientes individuales (bienes y servicios),Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Información sobre el Historial de Compras,Historial de pedidos/compras de Clientes comerciales (bienes y servicios),Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Bienes Raíces,Plan de Negocios de Bienes Raíces,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Bienes Raíces,Estrategia de Crecimiento,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Bienes Raíces,Información proporcionada por propietarios y desarrolladores ,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Bienes Raíces,Registros de propiedad de inmuebles ,Altamente Sensibles,Información Comercial,Sudáfrica
Spanish,Todos los Dominios,Bienes Raíces,Recomendaciones o evaluaciones ejecutadas por Auditoría y Cumplimiento,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Bienes Raíces,Planes o proyectos de apertura,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Bienes Raíces,Resultados de desempeño (incluidos los resultados proyectados， las revisiones posteriores a la Auditoría y los OKR relacionados con las ventas durante el año posterior a la apertura),Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Administración de Riesgo ,Otros Datos de Riesgo， es decir， puntaje de Auditoría， puntaje iso,Altamente Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Rastreador de Envíos,Coordenadas GPS en tiempo real,Sensibles,Información Comercial,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Información relacionada con la discapacidad,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Origen étnico,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Información relacionada con niños menores de 13 años,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Información relacionada con niños menores de 14 años,Altamente Sensibles,Información Personal,China
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Información relacionada con niños menores de 18 años,Altamente Sensibles,Información Personal,Centro-américa
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Información relacionada con niños menores de 18 años,Altamente Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Nacionalidad,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Afiliación Política,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Afiliaciones Políticas o del Club,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Creencias religiosas u otras creencias,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Orientación sexual,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Membresía sindical,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Ciudadanía,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Estado de Ciudadanía,Altamente Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,País de Nacimiento,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,País de Residencia,Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Género,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Género,Sensibles,Información Personal,Sudáfrica
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Estado Civil,Altamente Sensibles,Información Personal,Global
Spanish,Todos los Dominios,Atributos Especiales de Información Personal,Estado Civil o Antecedentes,Sensibles,Información Personal,Sudáfrica
Spanish,Experiencia Digital de Asociado,Junta Asesora de Cambios,Períodos de Congelación Normales/Preplanificados,Sensibles,Información Comercial,Global
Spanish,Experiencia Digital de Asociado,Junta Asesora de Cambios,Períodos de Congelación de Emergencia,Altamente Sensibles,Información Comercial,Global
Spanish,Corporativo,Información laboral,Respuestas de la Encuesta AES (Anónimo),Altamente Sensibles,Información Comercial,Global
Spanish,Corporativo,Información laboral,Respuestas Anónimas a la Encuesta ,Sensibles,Información Comercial,Global
Spanish,Corporativo,Información laboral,Registros de entrada y salida,Altamente Sensibles,Información Personal,Canadá
Spanish,Corporativo,Información laboral,Registros de entrada y salida,Sensibles,Información Personal,Global
Spanish,Corporativo,Información Institucional de Propiedad Exclusiva,Información de reuniones de consejo,Altamente Sensibles,Información Comercial,Global
Spanish,Corporativo,Información Institucional de Propiedad Exclusiva,Asistencia a reuniones (si no se requiere información personal),No Sensibles,Información Comercial,Sudáfrica
Spanish,Comercio electrónico,Información Institucional de Propiedad Exclusiva,Información de seguridad de TI o datos de seguridad,Altamente Sensibles,Información Comercial,Global
Spanish,Comercio electrónico,Información Institucional de Propiedad Exclusiva,Credenciales de inicio de sesión; códigos de cuenta， números o detalles,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Cerrado/Consolidación,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Informes,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Controles y Auditoría,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Análisis del Balance General,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Análisis de Pérdidas y Ganancias,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Conciliación,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Política,Sensibles,Información Comercial,Global
Spanish,Finanzas,Contraloría,Evaluaciones de Riesgos del Balance General ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Finanzas del Segmento Corporativo,Planificación,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Finanzas del Segmento Corporativo,Previsión， Cierre e Informes,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Finanzas del Segmento Corporativo,Compensación de Incentivo Ejecutivo (MIP， PE),Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Servicios Empresariales Corporativos,Pagos Globales y Servicios Financieros Internacionales,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Número de Cuenta Principal (PAN) de crédito/débito， Número de Ruta,Altamente Sensibles,Información Personal,Global
Spanish,Finanzas,Información Financiera,Claves criptográficas u otros secretos utilizados para cifrar datos PCI,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Datos PCI cifrados,Altamente Sensibles,Información Personal,Global
Spanish,Finanzas,Información Financiera,Datos de pista completa (datos de banda magnética o equivalente en un chip),Altamente Sensibles,Información Personal,Global
Spanish,Finanzas,Información Financiera,Número de Cuenta Principal (PAN) de la Tarjeta de Regalo con logotipos de VISA/MC/DISC/AMEX/JCB ,Altamente Sensibles,Información Personal,Global
Spanish,Finanzas,Información Financiera,Clave(s) utilizada(s) para cifrar claves privadas u otros secretos que protegen los datos de PCI,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Contraseñas u otros factores de autenticación utilizados para acceder a los componentes del sistema PCI,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,PIN/bloques de PIN,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Cuentas por Pagar,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Cuentas por Cobrar ,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Ajustes,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Operaciones Bancarias,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Activos de Capital y Arrendamientos,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Presupuesto de Capital,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Colecciones y Recuperaciones,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Comisiones o Ingresos de Terceros,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Ingresos Diferidos,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Depreciación/Amortización,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Disposiciones y Deterioro,Altamente Sensibles,Información Comercial,Global
Spanish,Finanzas,Información Financiera,Ganancias,Altamente Sensibles,Información Comercial,Global
