Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
SOUTHWEST BU,46 - Phoenix,385,3731,-13.7%,-10.5%,-9.3%,-5.8%,0:29:50,0:27:59,0:57:23,0:49:15,0:31:53,0:28:58,50.9%,51.5%,-72.9%,-63.9%,-22.9%,-14.9%,-1.2%,0.9%,"2,461","2,435"
SOUTHWEST BU,46 - Phoenix,385,3732,5.2%,-4.9%,-9.1%,-13.1%,0:26:56,0:28:35,0:45:12,0:46:59,0:35:00,0:39:57,40.6%,49.2%,-33.6%,-30.4%,8.0%,-5.5%,-8.7%,-12.5%,"2,219","2,480"
EAST BU,04 - South Carolina,42,3733,13.3%,9.9%,21.2%,20.6%,0:19:03,0:17:40,0:31:24,0:26:45,0:23:16,0:22:42,55.7%,56.8%,-63.9%,2.8%,2.6%,0.4%,39.9%,33.5%,992,668
WEST BU,47 - Frontier,430,3734,3.7%,-5.5%,1.0%,-9.8%,0:04:04,0:04:19,0:24:48,0:26:38,0:19:22,0:20:10,97.7%,96.3%,58.9%,-2.3%,3.0%,-9.9%,8.1%,-9.7%,603,"1,299"
NORTH BU,"20 - VA, OH, PA, WV",227,3738,-3.3%,5.8%,9.8%,7.0%,0:18:03,0:18:10,0:24:38,0:26:03,0:19:31,0:20:16,65.2%,64.8%,29.6%,-14.3%,-5.5%,5.7%,2.5%,2.2%,996,762
WEST BU,56 - N CA N NV,399,3739,11.4%,27.6%,29.4%,35.9%,0:17:23,0:17:26,0:30:28,0:36:43,0:31:23,0:34:01,59.3%,65.3%,246.6%,194.0%,11.1%,25.8%,47.5%,49.3%,687,251
NORTH BU,21 - OH/IN,239,3747,5.1%,-2.8%,-7.4%,-4.2%,0:18:34,0:21:01,0:34:22,0:33:38,0:28:03,0:27:56,63.0%,57.9%,-15.1%,45.3%,0.3%,-9.1%,0.4%,-1.0%,"2,147","2,291"
NORTH BU,21 - OH/IN,221,3749,-12.1%,-12.7%,-17.3%,-25.6%,0:44:17,0:34:13,0:44:30,0:42:08,0:37:02,0:34:47,29.5%,38.1%,-31.9%,-47.5%,-17.8%,-13.3%,0.6%,-21.7%,"2,577","2,576"
SOUTHEAST BU,02 - Atlanta GA,32,3750,20.3%,16.4%,19.0%,18.5%,0:06:23,0:07:03,0:24:24,0:22:58,0:20:44,0:19:21,86.0%,83.6%,-11.7%,26.5%,39.2%,20.4%,11.7%,23.1%,89,58
SOUTHWEST BU,46 - Phoenix,373,3751,-1.1%,3.8%,6.6%,12.2%,0:32:05,0:35:22,0:26:24,0:28:20,0:20:02,0:20:38,74.3%,67.9%,33.7%,60.7%,-10.1%,-3.7%,7.9%,13.9%,401,233
WEST BU,60 - OR WA AK,473,3754,27.9%,9.5%,16.1%,6.5%,0:20:42,0:20:09,0:53:20,0:48:52,0:38:17,0:37:05,71.8%,68.2%,41.8%,-13.8%,36.8%,13.5%,14.1%,4.5%,"1,157","1,750"
WEST BU,60 - OR WA AK,471,3757,-6.6%,-2.9%,4.6%,-2.3%,0:21:49,0:22:10,0:36:08,0:39:05,0:32:15,0:35:16,66.7%,63.9%,76.2%,-12.3%,-35.6%,-18.4%,6.8%,-2.4%,"1,943","2,162"
WEST BU,52 - MN IA,421,3760,16.1%,15.8%,8.1%,10.2%,0:10:50,0:11:39,0:40:43,0:40:56,0:29:02,0:30:17,79.8%,75.0%,66.6%,-26.1%,10.8%,12.4%,12.4%,4.9%,"1,128","1,169"
WEST BU,52 - MN IA,412,3761,-1.9%,8.4%,20.9%,15.1%,0:10:50,0:09:43,0:33:47,0:34:44,0:38:04,0:30:26,74.1%,83.1%,407.0%,39.2%,-18.1%,-6.2%,47.2%,25.6%,"2,079","1,461"
WEST BU,52 - MN IA,413,3762,6.0%,8.8%,-1.0%,2.9%,0:45:48,0:36:19,0:40:34,0:39:07,0:35:27,0:31:24,49.8%,52.5%,88.3%,15.3%,15.7%,8.2%,-0.4%,2.4%,"2,099","1,745"
SOUTHWEST BU,07 - W TX / N NM,505,3763,0.4%,0.5%,3.1%,1.5%,0:14:40,0:13:23,0:27:19,0:28:47,0:16:21,0:15:39,89.8%,90.9%,125.6%,9.4%,-13.5%,-3.6%,5.4%,5.2%,133,103
SOUTHWEST BU,05 - Dallas,45,3764,-4.4%,-1.0%,-3.5%,-2.6%,0:22:36,0:21:43,0:27:37,0:28:33,0:25:50,0:24:35,52.0%,55.0%,-61.6%,-45.3%,-6.1%,-3.2%,-2.3%,4.0%,"2,358","2,232"
NORTH BU,21 - OH/IN,239,3765,4.5%,5.1%,-2.9%,-4.1%,0:17:39,0:22:52,0:32:05,0:30:14,0:23:01,0:24:17,71.1%,59.0%,-53.8%,-24.1%,0.2%,5.0%,-6.8%,-6.3%,"1,230","1,483"
EAST BU,"75 - VA, MD",314,3768,13.0%,-0.2%,6.1%,0.3%,0:20:06,0:19:57,0:27:57,0:28:48,0:24:01,0:22:30,70.6%,64.5%,-61.3%,-70.8%,8.5%,-3.8%,4.2%,1.2%,416,"1,085"
SOUTHWEST BU,46 - Phoenix,371,3771,-0.7%,-2.9%,-2.1%,-5.5%,0:30:17,0:28:00,0:40:42,0:34:35,0:25:44,0:24:56,45.0%,49.9%,131.8%,89.2%,14.5%,4.8%,0.0%,-4.4%,"1,577","1,756"
NORTH BU,"20 - VA, OH, PA, WV",311,3772,-1.1%,-6.7%,-2.2%,-2.8%,0:30:59,0:30:58,0:41:41,0:39:49,0:23:36,0:21:59,51.5%,58.8%,-20.0%,-11.7%,-1.8%,-5.4%,-5.3%,-5.4%,"2,290","2,247"
SOUTHWEST BU,05 - Dallas,479,3773,6.1%,4.7%,6.2%,8.8%,0:25:29,0:25:00,0:38:04,0:36:08,0:26:41,0:25:10,60.8%,56.0%,-61.4%,-34.3%,9.5%,4.8%,16.3%,16.0%,"1,713","1,593"
SOUTHWEST BU,05 - Dallas,56,3777,4.5%,4.2%,14.8%,13.0%,0:26:08,0:26:30,0:42:53,0:43:29,0:36:02,0:35:53,69.1%,73.0%,2.9%,-14.2%,-1.8%,0.7%,13.8%,18.1%,682,603
WEST BU,47 - Frontier,381,3778,3.0%,1.0%,6.3%,7.1%,0:11:16,0:09:45,0:45:22,0:44:19,0:31:45,0:28:53,85.7%,87.8%,-28.1%,-19.6%,-3.5%,-3.7%,1.3%,7.4%,"1,147",980
SOUTHEAST BU,09 - S. Florida,91,3782,2.1%,1.7%,11.9%,5.7%,0:41:19,0:36:05,0:37:02,0:34:22,0:23:36,0:20:29,21.0%,25.6%,29.6%,2.1%,-1.1%,3.3%,29.7%,10.3%,"1,380","1,063"
NORTH BU,21 - OH/IN,223,3783,-12.1%,-18.2%,-25.6%,-22.3%,0:21:29,0:21:56,0:49:21,0:46:53,0:32:23,0:31:40,51.4%,51.9%,-70.3%,-68.3%,6.1%,-10.9%,-28.8%,-24.8%,"2,537","2,565"
NORTH BU,21 - OH/IN,221,3784,10.4%,13.5%,37.7%,28.0%,0:18:20,0:18:46,0:23:50,0:23:01,0:20:43,0:22:05,58.3%,58.5%,-0.9%,51.8%,-6.5%,2.2%,76.1%,38.7%,741,406
SOUTHEAST BU,02 - Atlanta GA,25,3786,-6.4%,5.4%,8.8%,25.9%,0:39:28,0:34:33,0:53:52,0:45:31,0:39:18,0:34:01,32.2%,40.5%,-49.8%,-2.6%,-13.7%,1.1%,29.8%,46.2%,"2,440","1,572"
NORTH BU,25 - Chicago / IL,265,3790,3.0%,16.1%,12.0%,15.6%,0:13:27,0:13:23,0:23:15,0:22:34,0:14:28,0:15:11,74.4%,76.0%,-46.4%,-31.9%,1.0%,9.2%,12.8%,17.3%,629,122
NORTH BU,"19 - Michigan, OH",202,3791,8.2%,1.9%,8.5%,-1.6%,0:35:26,0:35:18,0:42:21,0:42:12,0:37:16,0:37:08,47.4%,42.7%,8.2%,-32.3%,-0.9%,-3.9%,6.8%,2.4%,"2,355","2,511"
NORTH BU,21 - OH/IN,219,3792,5.6%,6.0%,7.5%,7.4%,0:31:28,0:31:49,0:34:34,0:35:04,0:22:10,0:22:06,42.4%,38.7%,-52.4%,-16.0%,6.4%,1.8%,6.3%,17.9%,"1,754","1,647"
WEST BU,60 - OR WA AK,514,3794,-5.7%,11.3%,17.7%,25.8%,0:18:55,0:19:21,0:36:58,0:31:20,0:18:37,0:18:51,61.4%,55.2%,-72.6%,-65.7%,-29.7%,-2.4%,23.6%,32.6%,653,126
SOUTHWEST BU,46 - Phoenix,371,3799,16.6%,6.5%,12.9%,1.1%,0:19:36,0:16:46,0:31:27,0:31:13,0:21:16,0:18:59,47.3%,57.5%,-7.4%,2.6%,18.0%,3.6%,10.6%,2.5%,590,536
EAST BU,"17 - NYC Metro, CT, RI",173,3803,2.8%,11.9%,-14.7%,3.1%,0:38:06,0:43:20,0:25:57,0:26:33,0:25:19,0:26:17,28.0%,27.8%,-12.9%,129.5%,9.1%,16.7%,-22.5%,-3.5%,"1,465",605
WEST BU,54 - Rocky Mountain,391,3805,-16.6%,-3.8%,-1.4%,11.4%,0:19:49,0:18:16,0:39:16,0:39:51,0:37:46,0:36:37,67.7%,70.2%,-20.2%,-21.7%,-17.0%,-11.9%,-13.3%,14.1%,"2,520","2,393"
WEST BU,52 - MN IA,421,3806,11.9%,4.3%,18.8%,14.0%,0:14:27,0:12:23,0:37:16,0:38:05,0:33:22,0:33:31,70.7%,75.7%,-45.6%,-43.6%,14.6%,2.0%,24.1%,13.6%,"1,472","1,570"
NORTH BU,"19 - Michigan, OH",213,3809,-2.4%,10.5%,7.4%,12.5%,0:08:12,0:08:34,0:17:41,0:17:08,0:15:49,0:16:44,91.8%,87.9%,-21.4%,-14.2%,-7.7%,6.7%,19.9%,14.3%,"1,540",691
EAST BU,"22 - PA, NJ",168,3810,0.6%,5.1%,-3.8%,2.7%,0:26:03,0:21:36,0:28:12,0:26:46,0:24:55,0:24:15,57.4%,58.8%,-71.4%,-14.5%,-2.7%,3.8%,-10.1%,2.7%,"2,273","1,582"
WEST BU,47 - Frontier,433,3823,-3.3%,-2.7%,-11.4%,-8.8%,0:26:45,0:25:39,0:38:47,0:35:57,0:31:14,0:28:39,71.1%,69.9%,-64.1%,-60.1%,-3.4%,-5.1%,0.9%,-3.4%,"2,270","1,850"
SOUTHWEST BU,07 - W TX / N NM,71,3826,-3.3%,-9.8%,-8.0%,-10.3%,0:14:52,0:16:58,0:31:09,0:32:53,0:21:33,0:21:59,68.0%,65.6%,-1.1%,-19.9%,-3.9%,-13.2%,-4.2%,-5.4%,"1,712","2,041"
SOUTHWEST BU,"13 - LA, MS",46,3828,7.6%,-1.1%,0.1%,-1.6%,0:18:13,0:20:07,0:41:59,0:43:59,0:28:32,0:29:30,86.8%,88.3%,-2.8%,-24.8%,-2.3%,-11.5%,7.4%,5.1%,"1,646","2,133"
SOUTHEAST BU,12 - Nashville,124,3829,20.7%,5.0%,5.0%,3.4%,0:18:49,0:18:44,0:30:35,0:31:01,0:21:21,0:20:55,59.8%,66.3%,-27.4%,-13.0%,31.8%,4.5%,-1.4%,0.5%,441,622
EAST BU,"75 - VA, MD",288,3831,3.9%,-0.4%,17.3%,-3.4%,0:10:24,0:10:12,0:20:30,0:21:25,0:20:55,0:20:36,66.4%,66.9%,-40.7%,-7.1%,2.6%,-2.2%,57.8%,1.9%,"1,351","1,737"
SOUTHWEST BU,46 - Phoenix,373,3833,-1.2%,0.3%,4.6%,1.9%,0:21:02,0:21:13,0:36:21,0:39:24,0:30:25,0:28:52,71.6%,67.2%,-45.5%,-33.7%,-13.3%,-7.5%,11.2%,7.1%,841,850
SOUTHEAST BU,12 - Nashville,119,3835,13.7%,12.7%,11.2%,14.7%,0:20:00,0:22:11,0:30:34,0:32:08,0:18:53,0:18:29,66.4%,66.3%,3.5%,61.7%,46.4%,27.4%,7.5%,12.0%,411,232
NORTH BU,53 - WISCONSIN,263,3837,-1.7%,-1.2%,7.1%,5.7%,0:22:07,0:21:48,0:36:09,0:36:20,0:22:38,0:23:42,62.1%,61.8%,-13.8%,-1.2%,-5.8%,-10.4%,6.6%,9.0%,"2,008","2,082"
NORTH BU,"20 - VA, OH, PA, WV",227,3838,-5.6%,-0.7%,-9.1%,3.7%,0:24:19,0:22:45,0:27:06,0:29:49,0:24:49,0:24:03,43.1%,47.5%,54.9%,39.0%,-8.5%,0.1%,0.4%,11.3%,"2,201","1,804"
NORTH BU,21 - OH/IN,222,3840,12.8%,6.4%,-7.6%,-14.5%,0:25:13,0:31:10,0:22:46,0:24:48,0:24:10,0:26:05,62.2%,53.1%,40.6%,-20.8%,13.4%,6.5%,9.1%,-0.4%,627,"1,389"
EAST BU,"76 - West NY, PA, VA & DC",192,3842,-8.2%,-2.9%,-7.6%,-0.5%,0:21:08,0:22:38,0:13:37,0:13:26,0:14:15,0:14:50,42.0%,37.8%,-57.3%,-76.9%,-4.6%,0.6%,-3.9%,-0.5%,"1,971","1,723"
WEST BU,57 - LA Vegas HI,405,3847,-5.8%,-2.0%,7.5%,3.8%,0:20:23,0:21:01,0:27:39,0:31:59,0:25:14,0:24:22,89.0%,90.0%,50.2%,36.5%,-5.7%,-3.5%,6.0%,4.8%,538,682
WEST BU,54 - Rocky Mountain,401,3848,-1.5%,10.2%,2.5%,13.9%,0:23:15,0:24:09,0:36:28,0:40:56,0:28:53,0:29:46,59.5%,58.0%,-45.9%,-42.5%,-5.7%,8.4%,13.4%,16.7%,"2,318","1,673"
NORTH BU,21 - OH/IN,246,3851,2.8%,7.8%,4.8%,11.2%,0:12:04,0:15:37,0:27:22,0:28:45,0:18:49,0:21:11,72.6%,68.4%,52.5%,25.4%,10.6%,6.4%,5.7%,18.0%,905,569
WEST BU,47 - Frontier,430,3853,-5.6%,-0.8%,13.7%,12.8%,0:11:19,0:13:15,0:38:48,0:40:10,0:24:56,0:25:24,82.4%,77.2%,-10.8%,-12.8%,-24.2%,-12.7%,7.8%,1.9%,"2,088","2,093"
NORTH BU,53 - WISCONSIN,441,3857,20.7%,28.5%,27.8%,43.9%,0:17:07,0:17:48,0:23:55,0:24:43,0:33:15,0:30:44,54.5%,54.4%,-16.4%,80.6%,12.6%,31.8%,41.5%,59.9%,744,532
NORTH BU,"20 - VA, OH, PA, WV",208,3860,0.5%,5.9%,2.4%,1.8%,0:24:16,0:27:16,0:30:54,0:27:59,0:33:29,0:29:24,43.1%,37.4%,159.9%,140.7%,0.7%,2.9%,-2.7%,-2.5%,"2,416","2,285"
SOUTHWEST BU,46 - Phoenix,373,3861,9.4%,8.7%,9.1%,10.9%,0:13:32,0:13:27,0:27:27,0:32:14,0:22:17,0:22:59,76.0%,80.0%,25.6%,12.4%,-5.5%,1.7%,7.1%,9.4%,204,183
WEST BU,54 - Rocky Mountain,379,3867,19.3%,4.3%,13.1%,0.0%,0:25:07,0:22:13,0:52:01,0:41:56,0:25:35,0:25:03,68.2%,70.0%,-1.6%,-24.5%,26.8%,7.4%,3.7%,-2.7%,846,"1,482"
SOUTHEAST BU,"42 - AR, MO, LA",127,3868,4.5%,-4.1%,8.8%,8.4%,0:13:29,0:11:54,0:16:38,0:15:19,0:14:46,0:16:10,50.0%,58.8%,-92.3%,-90.3%,18.5%,-11.2%,22.2%,25.2%,"1,897","1,972"
WEST BU,47 - Frontier,429,3872,3.0%,12.4%,4.2%,13.4%,0:13:28,0:15:38,0:41:41,0:44:34,0:25:09,0:26:05,78.0%,76.8%,81.4%,68.2%,3.0%,6.0%,-2.3%,3.8%,"1,288",518
SOUTHEAST BU,02 - Atlanta GA,18,3874,2.7%,3.4%,15.4%,8.3%,0:15:04,0:14:11,0:37:37,0:39:29,0:29:08,0:28:39,71.4%,74.9%,-34.7%,-3.7%,1.3%,2.5%,18.6%,18.6%,512,358
NORTH BU,"19 - Michigan, OH",200,3876,10.8%,7.8%,5.0%,1.6%,0:33:28,0:29:46,0:34:39,0:32:52,0:33:22,0:32:30,46.6%,46.6%,-5.3%,-3.3%,44.7%,29.8%,7.8%,-2.4%,"2,480","2,496"
SOUTHWEST BU,06 - South Texas,80,3886,-1.3%,0.1%,-2.7%,1.4%,0:47:35,0:49:40,1:02:59,0:58:59,0:36:40,0:35:40,58.5%,55.8%,99.8%,102.5%,-13.7%,-9.7%,0.5%,3.6%,"2,252","2,144"
SOUTHEAST BU,09 - S. Florida,116,3887,16.4%,6.8%,24.0%,11.9%,0:31:01,0:34:31,0:39:32,0:38:08,0:22:07,0:22:18,42.8%,38.2%,25.2%,17.1%,14.0%,3.5%,30.1%,14.8%,164,383
SOUTHWEST BU,07 - W TX / N NM,86,3888,15.2%,12.9%,12.6%,6.4%,0:35:23,0:38:30,0:36:01,0:36:24,0:26:35,0:26:12,46.1%,43.3%,31.7%,-33.6%,17.3%,16.1%,5.1%,0.3%,274,531
NORTH BU,25 - Chicago / IL,269,3891,-2.9%,3.1%,2.2%,7.4%,0:36:15,0:35:30,0:20:17,0:22:34,0:23:10,0:22:08,32.6%,30.7%,-64.1%,-57.7%,-9.1%,-0.8%,17.4%,15.7%,"2,076","1,738"
NORTH BU,25 - Chicago / IL,269,3893,-7.3%,-10.3%,-11.1%,-8.4%,0:21:46,0:22:06,0:35:16,0:35:46,0:25:56,0:25:03,50.8%,50.6%,-69.9%,-52.9%,-9.8%,-15.5%,2.4%,7.3%,"2,443","2,448"
NORTH BU,41 - Indy / KY,260,3894,28.4%,17.7%,8.8%,4.7%,0:32:51,0:34:26,0:24:23,0:20:04,0:17:34,0:16:32,33.5%,33.3%,-54.1%,-54.6%,41.1%,23.9%,15.8%,7.1%,351,490
WEST BU,56 - N CA N NV,400,3897,13.4%,10.8%,9.0%,7.1%,0:21:45,0:20:12,0:34:21,0:35:08,0:23:30,0:22:33,57.1%,65.7%,21.0%,-7.4%,8.3%,6.2%,-0.9%,-3.5%,131,130
SOUTHWEST BU,07 - W TX / N NM,87,4055,1.3%,-2.3%,0.9%,2.1%,0:34:30,0:35:58,0:36:44,0:34:44,0:27:43,0:27:07,48.6%,45.6%,15.4%,-38.2%,-10.6%,-6.4%,0.0%,0.2%,"2,369","2,408"
EAST BU,04 - South Carolina,300,4065,30.6%,12.6%,18.7%,13.2%,0:10:35,0:10:21,0:25:27,0:25:45,0:21:14,0:21:12,77.9%,81.4%,8.1%,-4.9%,30.4%,12.1%,15.6%,13.1%,27,78
WEST BU,54 - Rocky Mountain,582,4068,4.4%,0.3%,-4.2%,-2.8%,0:24:17,0:17:53,0:33:24,0:33:49,0:28:55,0:27:56,63.6%,76.5%,-59.0%,-41.8%,-0.8%,4.0%,-2.9%,-5.7%,"2,228","1,854"
SOUTHWEST BU,07 - W TX / N NM,86,4102,24.9%,20.6%,5.0%,8.2%,0:37:55,0:28:47,0:30:00,0:30:06,0:19:53,0:17:55,50.4%,55.7%,-31.4%,-25.4%,23.7%,25.0%,15.2%,12.6%,"1,385","1,027"
SOUTHWEST BU,07 - W TX / N NM,77,4103,7.7%,0.6%,1.4%,5.2%,0:47:33,0:39:19,0:13:15,0:15:10,0:13:57,0:14:12,61.0%,71.0%,-76.9%,-63.0%,3.1%,0.5%,-0.4%,6.7%,"1,862","1,870"
SOUTHEAST BU,"42 - AR, MO, LA",323,4108,4.5%,2.4%,0.6%,1.4%,0:11:20,0:14:04,0:30:21,0:32:08,0:26:31,0:29:06,83.6%,78.3%,-24.5%,-21.9%,-1.1%,-0.3%,6.2%,4.1%,"1,170","1,513"
SOUTHWEST BU,06 - South Texas,65,4111,-6.0%,4.1%,-7.7%,-4.4%,0:34:26,0:28:11,0:26:29,0:26:55,0:21:52,0:21:07,67.6%,73.1%,-69.1%,-52.0%,-8.8%,3.4%,2.8%,6.4%,"1,761",940
SOUTHWEST BU,06 - South Texas,569,4112,0.7%,2.7%,-13.8%,-15.0%,1:07:57,1:03:30,0:43:34,0:39:36,0:24:56,0:20:49,32.6%,26.5%,-37.2%,-42.5%,-0.3%,3.3%,-16.0%,-18.4%,"2,341","2,094"
SOUTHWEST BU,07 - W TX / N NM,87,4115,-2.3%,5.7%,-9.4%,0.5%,0:34:35,0:32:10,0:44:37,0:39:05,0:33:13,0:31:52,43.9%,49.7%,-32.2%,-36.6%,-15.8%,-3.6%,-9.4%,0.4%,"2,553","2,369"
NORTH BU,41 - Indy / KY,256,4118,7.1%,1.8%,5.0%,3.6%,0:26:34,0:24:28,0:34:05,0:33:27,0:25:27,0:26:46,62.3%,58.1%,39.9%,48.5%,0.0%,-3.5%,9.1%,0.3%,"1,748","2,037"
SOUTHWEST BU,"13 - LA, MS",128,4129,3.2%,-0.2%,14.0%,9.4%,0:35:21,0:30:34,0:27:37,0:28:09,0:23:48,0:24:02,51.0%,51.5%,-55.5%,12.1%,-7.9%,-7.4%,14.1%,13.3%,"2,212","2,260"
SOUTHWEST BU,07 - W TX / N NM,82,4130,10.1%,14.1%,2.3%,9.7%,0:20:47,0:22:04,0:34:55,0:33:26,0:21:50,0:22:02,72.6%,75.6%,-72.8%,-66.3%,22.5%,14.8%,5.5%,12.8%,410,141
SOUTHWEST BU,07 - W TX / N NM,506,4131,19.8%,13.7%,1.3%,6.9%,0:36:47,0:35:01,0:47:41,0:46:30,0:24:46,0:23:56,38.6%,42.3%,98.5%,33.2%,46.8%,24.7%,3.4%,3.7%,"1,867","1,661"
EAST BU,16 - New England,181,4156,10.1%,15.4%,30.1%,30.2%,0:05:43,0:04:39,0:19:51,0:20:51,0:23:12,0:21:24,84.9%,90.3%,610.1%,33.4%,5.6%,6.2%,38.4%,28.7%,238,329
SOUTHWEST BU,07 - W TX / N NM,82,4163,13.3%,6.0%,10.3%,7.7%,0:15:27,0:12:23,0:30:28,0:29:22,0:15:56,0:13:18,89.7%,91.3%,9.4%,5.4%,4.2%,-8.0%,11.0%,9.5%,9,10
SOUTHWEST BU,05 - Dallas,55,4164,4.6%,0.4%,-3.4%,-0.3%,0:15:36,0:14:55,0:33:33,0:32:40,0:20:50,0:21:13,87.6%,86.6%,-64.2%,-76.5%,-1.5%,-2.4%,-0.9%,1.7%,"1,356","1,381"
SOUTHEAST BU,"42 - AR, MO, LA",326,4168,-3.8%,-9.4%,-2.0%,-6.2%,0:10:03,0:08:47,0:35:35,0:35:19,0:33:41,0:31:21,95.3%,94.8%,62.5%,36.5%,3.7%,-13.6%,-5.3%,-5.0%,"2,150","2,169"
SOUTHWEST BU,06 - South Texas,85,4183,8.4%,7.9%,10.4%,10.3%,0:15:30,0:17:28,0:35:49,0:44:10,0:29:55,0:31:31,92.1%,87.8%,-68.3%,-34.7%,-10.9%,-1.1%,14.0%,8.3%,"1,655","1,665"
SOUTHWEST BU,06 - South Texas,84,4194,22.8%,16.4%,12.7%,7.5%,0:16:19,0:19:23,0:30:48,0:35:50,0:32:36,0:32:39,73.6%,77.1%,66.1%,91.2%,8.1%,8.6%,6.1%,7.0%,"1,154","1,253"
SOUTHWEST BU,"44 - Oklahoma, N TX",352,4195,8.1%,-6.4%,1.4%,1.5%,0:16:36,0:21:21,0:28:36,0:29:50,0:23:08,0:24:50,95.0%,91.9%,-9.4%,-44.0%,6.5%,-10.1%,-3.5%,1.9%,414,"1,308"
SOUTHEAST BU,"14 - AL, FL",16,4200,17.5%,6.8%,24.4%,13.8%,0:16:54,0:18:49,0:29:52,0:31:28,0:31:07,0:26:31,59.6%,52.3%,5.7%,34.8%,33.6%,4.5%,20.6%,12.2%,282,634
SOUTHWEST BU,46 - Phoenix,385,4201,5.6%,5.1%,0.7%,6.9%,0:46:45,0:43:55,0:38:18,0:37:35,0:37:05,0:36:35,54.3%,46.4%,-44.4%,-36.9%,3.6%,-3.1%,2.0%,13.9%,"2,213","2,240"
WEST BU,56 - N CA N NV,455,4202,-18.0%,-20.5%,-25.9%,-28.9%,0:13:22,0:13:42,0:24:20,0:32:50,0:23:00,0:23:04,71.5%,70.0%,-6.2%,-9.5%,-16.3%,-11.2%,-22.7%,-30.1%,"1,834","1,825"
WEST BU,58 - S CA W AZ,365,4203,9.1%,3.4%,1.7%,4.4%,0:24:04,0:24:05,0:36:39,0:33:33,0:28:18,0:27:40,94.9%,95.0%,50.0%,31.9%,11.6%,4.9%,-2.0%,4.1%,800,779
WEST BU,47 - Frontier,407,4209,8.4%,0.6%,4.6%,-0.7%,0:09:03,0:09:13,0:16:52,0:18:37,0:17:03,0:17:29,86.6%,85.8%,-30.7%,-47.9%,7.6%,-1.5%,4.8%,2.4%,129,514
SOUTHWEST BU,05 - Dallas,55,4215,9.6%,-0.8%,14.6%,8.1%,0:21:15,0:19:57,0:51:19,0:56:12,0:34:43,0:34:38,85.4%,87.6%,476.0%,159.4%,12.8%,-3.1%,16.5%,8.4%,"1,224","1,630"
NORTH BU,41 - Indy / KY,580,4216,15.1%,22.3%,22.6%,20.1%,0:09:29,0:08:45,0:22:07,0:20:22,0:22:00,0:22:00,91.8%,88.9%,7.3%,47.4%,14.6%,17.4%,21.2%,15.3%,269,120
SOUTHWEST BU,07 - W TX / N NM,82,4219,25.6%,23.8%,27.9%,22.6%,0:14:44,0:16:02,0:32:34,0:30:24,0:12:48,0:14:09,70.1%,67.1%,436.5%,226.6%,15.6%,21.9%,30.3%,22.9%,6,5
SOUTHEAST BU,12 - Nashville,123,4223,2.4%,4.8%,-5.0%,-0.6%,0:09:40,0:12:57,0:39:24,0:40:41,0:24:10,0:25:34,74.4%,69.5%,-46.9%,-7.0%,10.1%,8.9%,-13.7%,-0.7%,"1,418","1,507"
EAST BU,26 - North Carolina,304,4224,-1.2%,-11.1%,-1.8%,-4.8%,0:17:02,0:18:53,0:21:41,0:23:58,0:21:35,0:21:38,51.4%,54.6%,-36.8%,-25.2%,4.6%,-8.6%,5.7%,3.8%,"1,403","1,840"
NORTH BU,21 - OH/IN,248,4230,22.7%,-0.4%,24.0%,2.8%,0:33:02,0:37:03,0:33:56,0:29:51,0:25:47,0:26:12,30.5%,28.1%,148.9%,67.9%,12.1%,-10.9%,60.2%,19.4%,"1,100","2,225"
NORTH BU,21 - OH/IN,248,4231,13.4%,10.8%,4.4%,-0.9%,0:31:33,0:32:26,0:32:24,0:25:18,0:20:22,0:18:20,36.8%,33.5%,10.8%,-0.4%,15.3%,9.6%,5.7%,1.0%,"1,780","1,558"
NORTH BU,41 - Indy / KY,251,4235,-2.8%,-6.1%,1.6%,0.5%,0:23:18,0:23:35,0:24:46,0:26:41,0:21:54,0:22:32,53.6%,50.9%,-19.9%,-8.3%,-7.9%,-11.8%,-5.1%,-0.2%,"1,376","1,238"
WEST BU,56 - N CA N NV,392,4239,-3.8%,-3.1%,-1.3%,-0.9%,0:26:12,0:20:36,0:19:24,0:17:11,0:27:34,0:26:54,39.3%,46.9%,-54.9%,-52.8%,3.9%,-4.8%,0.0%,4.3%,"2,472","2,329"
SOUTHWEST BU,"44 - Oklahoma, N TX",352,4241,0.8%,2.6%,12.5%,9.9%,0:18:58,0:20:35,0:33:24,0:37:04,0:32:29,0:32:35,76.0%,71.8%,-11.6%,-11.2%,-7.9%,-0.9%,20.6%,11.6%,"1,080",996
NORTH BU,"19 - Michigan, OH",205,4243,1.5%,10.2%,8.9%,9.6%,0:34:01,0:30:06,0:42:00,0:40:16,0:26:37,0:27:05,37.4%,41.6%,30.7%,16.2%,-0.7%,6.6%,10.4%,10.6%,"2,172","1,611"
