Store Number,Serial Number,SIM Status,SIM Last Update,Acquisition Date,Manufacturer name,Model,Caliber,Firearm type,Notes,UPC
4274,NZ778728,Do Not Sell,10/7/2018 2:39:23 PM,2015-01-29T12:00:00,"HAWK INDUSTRIES CO. LTD./H&R 1871, LLC",PARDNER PUMP,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",010633051287
4277,20A16-104911,Do Not Sell,11/3/2018 3:25:08 PM,2016-09-20T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
4279,D20M03580,Do Not Sell,4/24/2021 7:09:26 PM,2020-08-07T12:00:00,ARMSAN (TURKEY)/TRISTAR,VIPER G2,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986487
4318,RS64028E,Backroom Available,10/23/2018 9:28:05 PM,2011-11-18T12:00:00,REMINGTON ARMS COMPANY,870,12 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700255873
4325,D21M07778,Display Available,10/11/2021 9:49:21 PM,2021-10-11T12:00:00,KRAL (TURKEY)/TRISTAR,UPLAND HTR,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",713780980812
4333,410S21--009539,Display Available,5/9/2022 3:56:37 PM,2022-01-25T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
4334,12A21010082,Reserved,12/24/2021 5:34:40 PM,2021-11-29T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
4334,12S21006160,Backroom Available,1/26/2022 6:36:52 PM,2022-01-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
4335,12A21003982,Backroom Available,7/5/2021 5:51:12 PM,2021-07-05T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
4335,410S21010206,Backroom Available,3/7/2022 6:58:40 PM,2022-03-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
4335,410S21010207,Backroom Available,3/7/2022 6:52:12 PM,2022-03-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
4381,20S1-005482,Display Available,2/2/2022 1:01:58 AM,2022-01-27T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
4395,28A20-001478,Do Not Sell,12/28/2020 11:49:14 PM,2020-08-03T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,28 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150827
4403,1164296H,Invalid,4/8/2022 2:17:08 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",619835001009
4404,KRA068241,Do Not Sell,1/23/2020 3:52:10 PM,2019-03-26T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204246
4410,A20A21-007402,Backroom Available,2/18/2022 2:31:16 PM,2022-02-18T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
4412,206080G,Do Not Sell,4/22/2022 7:07:18 PM,2020-09-30T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194947
4412,N639463,Do Not Sell,12/9/2020 8:28:42 PM,2020-06-24T12:00:00,SAVAGE ARMS INC./&NBSP;,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
4423,201091L,Do Not Sell,11/19/2020 7:19:19 PM,2020-10-29T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
4423,204548G,Do Not Sell,9/21/2020 10:50:59 PM,2020-09-04T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
4423,20P4100421,Do Not Sell,10/6/2020 6:22:41 PM,2020-07-30T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
4423,20P4100422,Do Not Sell,8/12/2020 3:22:48 PM,2020-07-30T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
4423,57-H21PT-033533,Do Not Sell,11/28/2021 5:04:20 PM,2021-10-27T12:00:00,AKKAR/CHIAPPA FIREARMS USA,335,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860007252112
4423,61-06-027567-20,Do Not Sell,8/24/2020 2:43:11 PM,2020-07-29T12:00:00,DIKAR (SPAIN)/BPF,CASCADE,350 LEGEND,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",043125939077
4423,V1303403,Do Not Sell,3/10/2021 10:51:54 PM,2021-03-05T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
4423,V1311473,Do Not Sell,7/27/2021 6:52:29 PM,2021-05-25T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
4438,212129F,Invalid,4/8/2022 9:15:49 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",011356194930
4438,2130BAEEYS,Backroom Available,4/15/2022 7:50:44 PM,2022-04-15T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",011356194947
4438,V1286398,Invalid,4/8/2022 9:15:24 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",015813501040
4440,1093278H,Do Not Sell,6/2/2021 3:54:22 PM,2021-03-25T12:00:00,HENRY,H001,.22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",619835001009
4440,D21M05737,Do Not Sell,6/2/2021 3:55:09 PM,2021-02-24T12:00:00,ARMSAN (TURKEY)/TRISTAR,VIPER G2,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986487
4440,V1070118,Do Not Sell,8/17/2020 1:54:31 PM,2020-02-03T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
4457,12A20-003680,Do Not Sell,2/20/2021 9:31:40 PM,2020-10-02T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
4457,20A21007853,Backroom Available,3/16/2022 4:18:36 PM,2022-03-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
4457,ATR024026,Do Not Sell,12/6/2019 7:23:13 PM,2013-07-10T12:00:00,MOSSBERG & SONS INC,ATR,30-06 SPRINGFIELD,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813271783
4474,RM0009056,Backroom Available,6/17/2022 5:26:49 PM,2022-06-17T12:00:00,MARLIN FIREARMS CO.,1895,45-70,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",736676704781
4482,217097C,Do Not Sell,5/5/2022 9:31:09 PM,2021-05-04T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
4483,20P4100409,Do Not Sell,10/31/2020 2:04:11 PM,2020-07-30T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
4487,211594K,Do Not Sell,10/24/2021 1:08:41 PM,2021-08-13T20:58:59.940,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
4487,21P4104281,Do Not Sell,5/31/2021 1:02:20 PM,2021-05-07T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
4487,28A20-001484,Do Not Sell,5/31/2021 1:13:35 PM,2020-07-28T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,28 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150827
4487,RA31456C,Do Not Sell,5/31/2021 1:14:12 PM,2020-08-17T12:00:00,REMINGTON,783,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700858265
4487,V1161777,Do Not Sell,9/2/2021 1:02:50 PM,2020-05-19T12:00:00,MOSSBERG,500,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501200
4521,12A16-119480,Do Not Sell,3/24/2020 12:18:08 AM,2017-03-19T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
4521,KRA077040,Do Not Sell,7/17/2020 2:23:47 PM,2020-05-08T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204246
4521,M72135107,Do Not Sell,9/9/2019 7:22:23 PM,2017-01-03T12:00:00,REMINGTON ARMS COMPANY,770,300 WIN MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856360
4521,MN63658A,Do Not Sell,12/28/2019 8:11:11 PM,2018-06-01T12:00:00,THE MARLIN FIREARMS CO.,60,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495074906
4540,U951933,Do Not Sell,10/25/2018 3:36:10 PM,2014-05-27T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
4540,V0661146,Do Not Sell,10/25/2018 3:36:26 PM,2017-09-14T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813542821
4594,12A16-111758,Do Not Sell,1/2/2021 6:08:43 PM,2016-09-13T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
4594,N639453,Do Not Sell,12/26/2020 8:25:41 PM,2020-06-22T12:00:00,SAVAGE ARMS INC./&NBSP;,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
4594,RA32682C,Do Not Sell,1/7/2021 7:10:12 PM,2020-08-06T12:00:00,REMINGTON,783,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700858265
4594,RR38786L,Do Not Sell,12/26/2020 7:59:04 PM,2018-09-10T12:00:00,REMINGTON ARMS COMPANY,700,308 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700854076
4597,KRA071631,Do Not Sell,3/18/2020 9:06:56 PM,2019-08-19T12:00:00,KRAL/TRISTAR ARMS,RAPTOR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780202068
4615,MPR0283309,Do Not Sell,5/16/2021 9:29:49 PM,2021-01-25T12:00:00,MOSSBERG,PATRIOT,308 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813279581
4616,3909217,Do Not Sell,3/1/2022 12:09:44 PM,2021-10-20T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654968020
4638,188282M,Do Not Sell,1/28/2022 7:52:29 PM,2019-05-01T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356222473
4678,12A21013377,Backroom Available,3/11/2022 4:48:19 PM,2022-03-11T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
4678,TL081193,Display Available,1/11/2021 8:12:37 PM,2010-10-04T12:00:00,REMINGTON ARMS CO,11-87,20 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700836485
4734,20A21006357,Backroom Available,12/5/2021 7:53:12 PM,2021-12-05T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
4865,V1372596,Do Not Sell,9/30/2021 10:00:23 PM,2021-06-24T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813541329
5003,12A17-008140,Do Not Sell,10/21/2018 4:32:05 AM,2017-12-07T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
5003,20A16-103229,Do Not Sell,10/21/2018 4:31:24 AM,2018-04-16T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
5031,21P4103477,Do Not Sell,5/26/2021 10:41:59 PM,2021-04-26T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
5031,KRA112716,Do Not Sell,1/31/2022 9:38:19 PM,2021-09-27T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204123
5031,MV0768158,Do Not Sell,6/24/2022 7:35:19 PM,2022-03-28T12:00:00,MOSSBERG,MAVERICK MODEL 88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322005
5041,12A20-008202,Do Not Sell,3/20/2021 3:26:56 PM,2021-01-29T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
5046,MV0688800,Do Not Sell,11/6/2021 6:58:55 PM,2021-11-01T12:00:00,MAVERICK ARMS,88,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533310057
5057,12A20-003660,Do Not Sell,10/14/2020 4:26:48 PM,2020-10-02T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
5057,KW2009733,Do Not Sell,6/3/2021 9:46:51 PM,2021-05-27T12:00:00,KRAL (TURKEY)/TRISTAR,UPLAND HTR,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780980362
5057,V1312102,Do Not Sell,6/3/2021 9:40:44 PM,2021-05-20T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
5071,20A21006365,Backroom Available,12/3/2021 6:34:48 PM,2021-12-03T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
5071,RB42106A,Do Not Sell,3/13/2020 8:16:19 PM,2019-09-19T12:00:00,MARLIN FIREARMS CO,XT,22 WMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",026495707835
5076,3201886,Backroom Available,10/20/2018 12:27:50 AM,2007-09-12T12:00:00,AKKAR/CHIPPA,FIELD HUNTER,20 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",092786731728
5076,KW2102261,Do Not Sell,6/30/2021 5:40:31 PM,2021-06-18T12:00:00,KRAL (TURKEY)/TRISTAR,UPLAND HTR,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780980812
5078,211248F,Do Not Sell,5/15/2022 8:48:42 PM,2021-11-08T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
5078,21PA20V-1200,Do Not Sell,5/15/2022 8:47:54 PM,2021-12-20T12:00:00,MERAK/CHIAPPA FIREARMS USA,301,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860007252129
5078,MV0444511,Do Not Sell,5/15/2022 8:49:16 PM,2020-03-31T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
5078,V0980640,Do Not Sell,4/21/2022 8:08:32 PM,2019-01-16T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
5079,12A20-007445,Do Not Sell,3/22/2021 8:53:34 PM,2021-01-19T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
5088,20P4101754,Do Not Sell,12/20/2020 8:59:08 PM,2020-09-30T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
5088,ATR051241,Do Not Sell,5/5/2021 1:51:34 AM,2013-12-03T12:00:00,MOSSBERG,ATR,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813271882
5088,D20M04119,Do Not Sell,1/8/2021 4:05:13 PM,2020-08-10T12:00:00,ARMSAN (TURKEY)/TRISTAR,VIPER G2,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986487
5088,MPR0269447,Do Not Sell,12/5/2021 3:35:44 PM,2020-11-17T12:00:00,MOSSBERG,PATRIOT,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813280037
5088,MPR0305427,Do Not Sell,12/5/2021 3:34:55 PM,2021-05-21T12:00:00,MOSSBERG,PATRIOT,30-06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813278690
5088,V0980693,Do Not Sell,6/26/2020 7:38:35 PM,2019-01-08T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813541329
5088,V1252825,Do Not Sell,12/20/2020 8:38:24 PM,2020-11-21T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
5091,20A21000619,Backroom Available,4/14/2021 4:17:21 PM,2021-04-14T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
5099,J868511,Do Not Sell,10/13/2018 11:02:27 PM,2015-08-31T12:00:00,SAVAGE ARMS INC.,AXIS,30-06,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221841
5099,K413246,Do Not Sell,10/13/2018 11:02:43 PM,2016-09-16T12:00:00,SAVAGE ARMS INC.,AXIS,270 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356226846
5099,K849956,Do Not Sell,6/23/2019 5:23:09 PM,2018-01-16T12:00:00,SAVAGE ARMS INC.,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356190536
5099,V0285861,Do Not Sell,10/13/2018 11:00:30 PM,2016-05-06T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
5101,H004496,Backroom Available,10/16/2018 6:28:55 PM,2011-01-03T12:00:00,SAVAGE ARMS INC.,10,243 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174536
5101,TL060659,Backroom Available,10/16/2018 8:07:11 PM,2007-08-20T12:00:00,REMINGTON ARMS COMPANY,32082,20 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",047700299174
5105,01039174,Backroom Available,1/27/2022 7:56:39 PM,2022-01-27T12:00:00,K.S.A. LLC,CRICKETT,22,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",611613002338
5105,N698060,Do Not Sell,12/23/2020 4:26:09 PM,2020-08-05T12:00:00,SAVAGE ARMS USA,110,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356576781
5116,12A21003241,Display Available,1/30/2022 10:49:26 PM,2021-07-13T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
5126,12A21010087,Backroom Available,4/24/2022 5:44:11 PM,2021-11-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
5126,21P4103479,Do Not Sell,5/29/2021 3:53:05 AM,2021-04-26T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
5127,20s18-001884,Do Not Sell,3/17/2020 6:55:23 PM,2018-06-14T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004911
5127,410S21008707,Display Available,2/3/2022 5:26:10 PM,2022-01-25T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
5127,K572966,Do Not Sell,10/20/2018 12:32:46 AM,2017-10-05T12:00:00,SAVAGE ARMS INC.,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
5151,20A16-107490,Do Not Sell,12/24/2020 7:49:51 PM,2017-01-11T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
